rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
1,454910,두산로보틱스,KOSPI,5859726192000,특수 목적용 기계 제조업,90400.0,24.0,25.0,8.0,12,5.0,74.0,79400.0,12.168141592920353,39.49579831932773,32.28631449594295,R,82555.0,79668.0,0,True,25.0,8.0,8.0,0,0,,4,28669697100.0,33480057800.0,,0,2026-01-18 12:35,1
2,003550,LG,KOSPI,13494388687500,기타 금융업,87500.0,20.0,20.0,8.0,15,5.0,68.0,78600.0,10.17142857142857,0.8403361344537815,18.853409473637942,R,82265.0,82092.0,0,True,20.0,8.0,8.0,0,0,,5,24188262000.0,3076190600.0,,0,2026-01-18 12:35,1
3,003490,대한항공,KOSPI,8947762062300,항공 여객 운송업,24300.0,18.0,20.0,8.0,15,5.0,66.0,21600.0,11.11111111111111,15.966386554621849,13.997896134944694,R,22572.5,22190.0,0,True,20.0,8.0,8.0,0,0,,6,100324901900.0,74676061600.0,,0,2026-01-18 12:35,1
4,016360,삼성증권,KOSPI,7465480000000,금융 지원 서비스업,83600.0,20.0,20.0,0.0,15,7.0,62.0,75300.0,9.92822966507177,4.201680672268908,26.928367327043784,R,78565.0,78894.0,0,True,20.0,0.0,0.0,0,0,,10,63750643900.0,16864563400.0,,0,2026-01-18 12:35,1
5,032830,삼성생명,KOSPI,34120000000000,보험업,170600.0,24.0,13.0,8.0,9,7.0,61.0,155200.0,9.026963657678781,26.050420168067227,34.17738399716758,A,160170.0,156486.0,0,False,13.0,8.0,8.0,0,0,,1,17675200700.0,2977604300.0,,0,2026-01-18 12:35,1
6,071050,한국금융지주,KOSPI,10181138738400,기타 금융업,182700.0,24.0,20.0,0.0,9,5.0,58.0,163200.0,10.673234811165845,3.361344537815126,37.40760115567421,R,166770.0,164728.0,0,True,20.0,0.0,0.0,0,0,,1,14976949400.0,1280998900.0,,0,2026-01-18 12:35,1
7,039490,키움증권,KOSPI,8841885030000,금융 지원 서비스업,330000.0,25.0,20.0,0.0,7,5.0,57.0,293500.0,11.06060606060606,4.201680672268908,46.538597398252065,R,304650.0,291110.0,0,True,20.0,0.0,0.0,0,0,,0,1522556500.0,3360478000.0,,0,2026-01-18 12:35,1
8,034730,SK,KOSPI,21678308197000,기타 금융업,299000.0,25.0,20.0,0.0,7,5.0,57.0,261500.0,12.54180602006689,2.5210084033613445,47.1261500457264,R,268800.0,263810.0,0,True,20.0,0.0,0.0,0,0,,0,31045347500.0,8986306500.0,,0,2026-01-18 12:35,1
9,017670,SK텔레콤,KOSPI,11877889930900,전기 통신업,55300.0,18.0,20.0,0.0,9,10.0,57.0,52600.0,4.882459312839059,11.764705882352942,25.550282468353817,R,53505.0,53598.0,0,True,20.0,0.0,0.0,0,0,,1,33990949600.0,39045946100.0,,0,2026-01-18 12:35,1
10,005940,NH투자증권,KOSPI,8071199957850,금융 지원 서비스업,22650.0,20.0,20.0,0.0,8,7.0,55.0,20750.0,8.388520971302428,4.201680672268908,19.95574557874765,R,21295.0,21131.6,0,True,20.0,0.0,0.0,0,0,,4,26332235900.0,-1069934900.0,,0,2026-01-18 12:35,1
11,034220,LG디스플레이,KOSPI,6260000000000,전자부품 제조업,12520.0,21.0,5.0,8.0,11,9.0,54.0,11700.0,6.549520766773163,11.764705882352942,36.19728729695991,-,12048.5,12516.8,0,False,5.0,8.0,8.0,0,0,,5,27010312930.0,-12111857010.0,,0,2026-01-18 12:35,1
12,005930,삼성전자,KOSPI,881434086585800,통신 및 방송 장비 제조업,148900.0,25.0,15.0,0.0,9,5.0,54.0,132700.0,10.879785090664877,79.83193277310924,73.71543431535046,R,127255.0,112300.0,0,True,15.0,0.0,0.0,0,0,,3,-1274854060400.0,1113598074700.0,,0,2026-01-18 12:35,1
13,397030,에이프릴바이오,KOSDAQ,1143010055500,자연과학 및 공학 연구개발업,49250.0,20.0,0.0,12.0,11,9.0,52.0,46500.0,5.583756345177665,95.7983193277311,58.51354682377258,-,51497.5,43961.0,7,False,0.0,12.0,12.0,0,0,,5,12701934600.0,-15417596150.0,,0,2026-01-18 12:35,1
14,207940,삼성바이오로직스,KOSPI,90128481597000,기초 의약물질 제조업,1947000.0,24.0,15.0,0.0,8,5.0,52.0,1671000.0,14.175654853620955,59.66386554621849,39.233301028967944,R,1785100.0,1750760.0,0,True,15.0,0.0,0.0,0,0,,4,47904348000.0,-3688024000.0,,0,2026-01-18 12:35,1
15,249420,일동제약,KOSPI,1233891828000,의약품 제조업,39000.0,23.0,0.0,12.0,8,9.0,52.0,36400.0,6.666666666666667,61.34453781512605,29.794907247382273,-,38842.5,33966.0,8,False,0.0,12.0,12.0,0,0,,4,2145209400.0,-1221488500.0,,0,2026-01-18 12:35,1
16,271560,오리온,KOSPI,4321299227600,기타 식품 제조업,109300.0,13.0,20.0,0.0,9,9.0,51.0,102000.0,6.678865507776761,15.126050420168067,19.020130366777003,R,105815.0,104824.0,0,True,20.0,0.0,0.0,0,0,,1,4829362100.0,10454880000.0,,0,2026-01-18 12:35,1
17,402340,SK스퀘어,KOSPI,58976896847500,기타 금융업,446500.0,25.0,15.0,0.0,5,5.0,50.0,398500.0,10.750279955207166,52.94117647058823,69.84510597766128,R,377975.0,329750.0,0,True,15.0,0.0,0.0,0,0,,1,77513141000.0,-25187554500.0,,0,2026-01-18 12:35,1
