rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
22,037460,삼지전자,KOSDAQ,272192946960,기타,16680.0,25.0,15.0,0.0,6,9.0,55.0,15420.0,7.553956834532374,100.0,59.47878516700017,R,15441.5,14038.8,0,True,1,-278266360.0,14031480.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
23,230360,에코마케팅,KOSDAQ,493500227360,기타,15920.0,25.0,15.0,0.0,4,10.0,54.0,15890.0,0.18844221105527637,73.94957983193277,62.81743572812133,R,13683.5,12086.0,0,True,0,-6392188170.0,13175466020.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
24,462350,이노스페이스,KOSDAQ,445414226400,기타,21600.0,25.0,15.0,0.0,5,9.0,54.0,19872.0,8.0,100.0,87.92864323250224,R,16289.0,13071.96,1,True,1,7339417350.0,-13100342550.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
25,140670,알에스오토메이션,KOSDAQ,256283206400,기타,19960.0,25.0,15.0,0.0,5,9.0,54.0,18363.2,8.0,100.0,53.97385449860984,R,17143.5,14763.4,0,True,1,4562553730.0,-864099000.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
26,043370,피에이치에이,KOSDAQ,252000000000,기타,12000.0,25.0,5.0,8.0,8,7.0,53.0,10990.0,8.416666666666666,66.38655462184875,52.724993298686684,C,11652.0,11502.0,2,False,3,421334910.0,-1284136890.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
27,448900,한국피아이엠,KOSDAQ,486361017000,기타,81000.0,24.0,15.0,0.0,5,9.0,53.0,74520.0,8.0,55.46218487394958,30.741603575235988,R,57590.0,51407.0,0,True,2,4045858000.0,-1229040500.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
28,290740,액트로,KOSDAQ,239044011250,기타,23750.0,25.0,15.0,0.0,4,9.0,53.0,21850.0,8.0,100.0,52.31728808610115,R,17107.5,10669.0,0,True,0,-1636519150.0,3000486360.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
29,012200,계양전기,KOSPI,309795794020,기타,11380.0,24.0,15.0,0.0,4,9.0,52.0,10469.6,7.999999999999997,97.47899159663865,34.428114001471535,R,7607.0,3907.6,2,True,0,-735069240.0,101555100.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
30,079940,가비아,KOSDAQ,412686033000,기타,30750.0,19.0,0.0,12.0,11,10.0,52.0,29900.0,2.7642276422764227,73.94957983193277,38.809155462767244,-,32000.0,30718.0,6,False,5,112226200.0,-22378950.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
31,361390,제노코,KOSDAQ,209018738750,기타,23750.0,23.0,15.0,0.0,4,9.0,51.0,21850.0,8.0,100.0,62.290856406942005,R,20285.0,17049.0,1,True,0,-734554100.0,393446200.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
32,033640,네패스,KOSDAQ,371714336240,기타,16120.0,14.0,15.0,8.0,5,9.0,51.0,14830.400000000001,8.0,12.605042016806722,20.994717663726078,B,16036.0,16681.6,0,False,2,536126830.0,-162627640.0,15.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
33,270660,에브리봇,KOSDAQ,291043978000,기타,23000.0,25.0,0.0,13.0,8,5.0,51.0,20500.0,10.869565217391305,60.50420168067227,40.97188680031388,-,21255.0,20053.2,3,False,3,5446559900.0,-4459381850.0,0.0,13.0,13.0,0,0,,,0,2026-01-18 23:11,2
34,308430,셀비온,KOSDAQ,296407881000,기타,23100.0,22.0,0.0,12.0,8,7.0,49.0,21000.0,9.090909090909092,31.932773109243698,20.704167737729737,-,22857.5,21913.6,6,False,3,1161012650.0,-656669500.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
35,000860,강남제비스코,KOSPI,207870000000,기타,15990.0,25.0,15.0,0.0,0,9.0,49.0,14710.800000000001,8.0,100.0,63.6298377249415,R,13849.0,12893.2,2,True,0,-1164101210.0,-151903930.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
36,274090,켄코아에어로스페이스,KOSDAQ,261418967840,기타,19780.0,25.0,0.0,12.0,5,7.0,49.0,18130.0,8.341759352881699,100.0,79.2408281049293,-,18178.5,13500.4,8,False,2,2510596150.0,-2069558580.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
37,041920,메디아나,KOSDAQ,273951824790,기타,14730.0,25.0,15.0,0.0,0,9.0,49.0,13551.6,8.0,100.0,47.373972573298076,R,10919.0,8144.6,1,True,0,-1581289770.0,-258150880.0,15.0,0.0,0.0,0,0,,,0,2026-01-18 23:11,2
38,357550,석경에이티,KOSDAQ,315844500000,기타,57900.0,14.0,0.0,12.0,12,10.0,48.0,57000.0,1.5544041450777202,89.91596638655462,34.604398944805766,-,65695.0,58853.0,6,False,4,136391800.0,26241800.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
39,092460,한라IMS,KOSDAQ,292575528000,기타,17100.0,15.0,5.0,12.0,7,9.0,48.0,16010.0,6.374269005847953,9.243697478991596,19.474528867030283,-,17262.5,16691.4,8,False,0,1225360270.0,179814800.0,5.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
40,403550,쏘카,KOSPI,399685947340,기타,12170.0,13.0,20.0,8.0,2,5.0,48.0,10810.0,11.175020542317174,17.647058823529413,15.322979956251698,R,11708.5,11614.6,1,True,2,-2435260.0,-20892240.0,20.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
41,474170,루미르,KOSDAQ,211852405440,기타,11890.0,25.0,0.0,5.0,9,9.0,48.0,10938.800000000001,8.0,100.0,82.75051900468699,-,10536.5,9055.2,4,False,3,-129685420.0,597528820.0,0.0,5.0,5.0,0,0,,,0,2026-01-18 23:11,2
42,394800,쓰리빌리언,KOSDAQ,497384714160,기타,15660.0,18.0,0.0,12.0,8,9.0,47.0,14530.0,7.215836526181353,79.83193277310924,26.101290257972785,-,16816.5,14523.2,9,False,3,3475009670.0,-665534990.0,0.0,12.0,12.0,0,0,,,0,2026-01-18 23:11,2
43,035510,신세계 I&C,KOSPI,230964468000,기타,16520.0,11.0,5.0,13.0,9,9.0,47.0,15310.0,7.324455205811138,7.563025210084033,30.052131699896997,-,16528.5,16564.2,3,False,1,1814689500.0,429221200.0,5.0,13.0,13.0,0,0,,,0,2026-01-18 23:11,2
44,134380,미원화학,KOSPI,213328996000,기타,97000.0,20.0,10.0,8.0,0,9.0,47.0,89240.0,8.0,100.0,13.577465104626494,B,95070.0,91298.0,2,False,0,-190600.0,-121701300.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
45,001940,KISCO홀딩스,KOSPI,374256432000,기타,26400.0,19.0,5.0,8.0,4,9.0,45.0,24650.0,6.628787878787879,7.563025210084033,23.828648002977015,-,25650.0,25999.0,1,False,0,-192125750.0,1265187400.0,5.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
46,382900,범한퓨얼셀,KOSDAQ,282104200000,기타,32200.0,21.0,0.0,8.0,7,9.0,45.0,29624.0,8.0,38.65546218487395,37.48458005208947,-,28220.0,29612.0,2,False,0,338773600.0,171945550.0,0.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
47,171090,선익시스템,KOSDAQ,476640974400,기타,49850.0,14.0,10.0,8.0,4,9.0,45.0,45862.0,8.0,47.05882352941177,32.558029201373664,B,50997.5,50835.0,0,False,0,-3232174100.0,2226290450.0,10.0,8.0,8.0,0,0,,,0,2026-01-18 23:11,2
