rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
1,056080,유진로봇,KOSDAQ,958435483600,기타,25550.0,24.0,25.0,20.0,12,9.0,90.0,23506.0,8.0,100.0,39.66369668566585,R,15759.0,13855.8,5,True,4,29418239560.0,11292195250.0,25.0,20.0,20.0,0,0,,,0,2026-01-18 23:13,1
2,437730,삼현,KOSDAQ,2248066500300,기타,70900.0,25.0,25.0,15.0,9,9.0,83.0,65228.0,8.0,84.03361344537815,47.89059074134606,R,58660.0,45224.0,5,True,2,16590523000.0,2622591600.0,25.0,15.0,15.0,0,0,,,0,2026-01-18 23:13,1
3,022100,포스코DX,KOSPI,6385458618000,기타,42000.0,24.0,25.0,18.0,7,9.0,83.0,38640.0,8.0,100.0,32.35359628093325,R,29385.0,27491.0,4,True,0,10391616950.0,1727662600.0,25.0,18.0,18.0,0,0,,,0,2026-01-18 23:13,1
4,000250,삼천당제약,KOSDAQ,6544634688000,기타,279000.0,24.0,30.0,8.0,6,9.0,77.0,256680.0,8.0,29.41176470588235,32.95554777328021,R,243025.0,230620.0,0,True,2,-1979155000.0,28614031500.0,30.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
5,051600,한전KPS,KOSPI,2497500000000,기타,55500.0,21.0,30.0,8.0,9,9.0,77.0,51060.0,8.0,13.445378151260504,36.606707029122234,R,51580.0,52118.0,0,True,1,28823583800.0,5297522800.0,30.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
6,090710,휴림로봇,KOSDAQ,1530246693570,기타,12810.0,25.0,25.0,8.0,9,9.0,76.0,11785.2,8.0,67.22689075630252,78.56187297751468,R,7866.0,6525.7,2,True,2,25289957850.0,494022580.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
7,420770,기가비스,KOSDAQ,583084868000,기타,46000.0,25.0,25.0,8.0,7,9.0,74.0,42320.0,8.0,57.142857142857146,50.99056595418334,R,33875.0,33553.0,0,True,0,4927535350.0,8109716250.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
8,066570,LG전자,KOSPI,16028020480800,기타,98400.0,23.0,25.0,8.0,9,9.0,74.0,90528.0,8.0,51.260504201680675,26.931077148318348,R,92685.0,91334.0,0,True,2,45775431800.0,21473055200.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
9,454910,두산로보틱스,KOSPI,5859726192000,기타,90400.0,24.0,25.0,8.0,12,5.0,74.0,79400.0,12.168141592920353,39.49579831932773,32.28631449594295,R,82555.0,79668.0,0,True,4,28669697100.0,33480057800.0,25.0,8.0,8.0,0,0,,,0,2026-01-18 23:13,1
10,466100,클로봇,KOSDAQ,1674473313000,기타,67000.0,24.0,10.0,20.0,9,9.0,72.0,61640.0,8.0,66.38655462184875,34.09556130715799,B,62480.0,50828.0,9,False,2,6068738900.0,5790527500.0,10.0,20.0,20.0,0,0,,,0,2026-01-18 23:13,1
