rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
68,074600,원익QnC,KOSDAQ GLOBAL,621711200000,기타,23650.0,25.0,20.0,5.0,7,5.0,62.0,21250.0,10.14799154334038,35.294117647058826,54.01364848873287,A,22070.5,21358.2,24857.57918099766,True,False,True,20.0,5.0,0,1881328150.0,6667537650.0,2026-01-19 12:49,1,,0
69,056080,유진로봇,KOSDAQ,1232274193200,기타,32850.0,25.0,0.0,20.0,7,9.0,61.0,30222.0,8.0,100.0,44.17838607598734,-,16682.5,14248.0,20993.361172741665,False,False,False,0.0,20.0,0,6282236700.0,16184745460.0,2026-01-19 12:49,1,,0
70,002240,고려제강,KOSPI,592650000000,기타,21950.0,23.0,10.0,10.0,9,9.0,61.0,20194.0,8.0,93.27731092436974,25.133899137177686,B,20547.5,19468.8,21720.807976663385,True,False,False,10.0,10.0,1,558396550.0,135023720.0,2026-01-19 12:49,1,,0
71,399720,가온칩스,KOSDAQ,716905956000,기타,61800.0,25.0,20.0,5.0,2,9.0,61.0,56856.0,8.0,100.0,55.41465973439453,A,54900.0,50925.0,62118.68675095182,True,False,True,20.0,5.0,1,-3285987900.0,-406240600.0,2026-01-19 12:48,1,,0
72,082740,한화엔진,KOSPI,4597937524200,기타,55100.0,24.0,10.0,10.0,8,9.0,61.0,50692.0,8.0,49.57983193277311,39.7375772389527,B,46660.0,44589.0,53084.16769613633,False,False,True,10.0,10.0,4,31513385800.0,-2803033800.0,2026-01-19 12:49,1,,0
73,295310,에이치브이엠,KOSDAQ,921209459400,기타,77400.0,25.0,10.0,12.0,5,9.0,61.0,71208.0,8.0,100.0,74.21396242731734,B,63665.0,40481.0,77493.9918550928,True,False,False,10.0,12.0,2,5222233600.0,-7097147700.0,2026-01-19 12:49,1,,0
74,103590,일진전기,KOSPI,2980336875000,기타,62500.0,24.0,10.0,12.0,6,9.0,61.0,59000.0,5.6000000000000005,22.689075630252102,39.84100445026689,B,58840.0,57486.0,65768.06803812509,True,False,False,10.0,12.0,2,-3082936400.0,1971909400.0,2026-01-19 12:49,1,,0
75,108490,로보티즈,KOSDAQ,3941208804000,기타,270500.0,23.0,10.0,17.0,6,5.0,61.0,233500.0,13.67837338262477,5.882352941176471,29.307199037124807,B,261350.0,250056.0,311739.09159365937,False,True,False,10.0,17.0,1,-10976552000.0,64487910000.0,2026-01-19 12:49,1,,0
76,062040,산일전기,KOSPI,4408464960000,기타,144800.0,21.0,20.0,7.0,6,7.0,61.0,131800.0,8.977900552486188,0.0,31.68309935800625,A,137360.0,141288.0,161022.8349264337,False,True,True,20.0,7.0,2,-8523166100.0,316362200.0,2026-01-19 12:49,1,,0
77,005180,빙그레,KOSPI,724322287400,기타,75800.0,15.0,30.0,0.0,5,10.0,60.0,72800.0,3.95778364116095,0.8403361344537815,23.47921158234083,R,75555.0,74908.0,77827.00711934388,True,True,True,30.0,0.0,2,2118517100.0,-211761400.0,2026-01-19 12:49,1,,0
78,032830,삼성생명,KOSPI,33400000000000,기타,167000.0,24.0,10.0,10.0,7,9.0,60.0,156200.0,6.467065868263473,27.73109243697479,31.636446673621567,B,160840.0,156826.0,168179.72623280273,True,False,False,10.0,10.0,0,15199771300.0,6923391300.0,2026-01-19 12:49,1,,0
79,028300,HLB,KOSDAQ,6847281145200,기타,51600.0,25.0,20.0,5.0,0,10.0,60.0,49600.0,3.875968992248062,11.764705882352942,47.68809343777772,A,50577.5,49035.0,54460.11947752771,False,True,True,20.0,5.0,0,-17924937100.0,-9658900600.0,2026-01-19 12:48,1,,0
80,003160,디아이,KOSPI,832020000000,기타,29400.0,25.0,10.0,10.0,6,9.0,60.0,27048.0,8.0,58.8235294117647,66.74671934872867,B,25570.0,23761.8,29822.993931088968,True,False,False,10.0,10.0,1,-4241740350.0,9386839350.0,2026-01-19 12:49,1,,0
81,047920,HLB제약,KOSDAQ,556277077760,기타,16960.0,22.0,20.0,5.0,4,9.0,60.0,16090.0,5.129716981132075,11.764705882352942,39.386296651001665,A,16301.0,16035.2,18008.07710802172,False,True,True,20.0,5.0,0,-2131077480.0,37283380.0,2026-01-19 12:49,1,,0
82,042700,한미반도체,KOSPI,16917915500000,기타,177500.0,25.0,10.0,10.0,6,9.0,60.0,164800.0,7.154929577464789,66.38655462184875,61.2870336076436,B,155020.0,135982.0,179551.48097482498,True,False,False,10.0,10.0,1,-19062895900.0,54382751500.0,2026-01-19 12:49,1,,0
83,347700,스피어,KOSDAQ,857665278320,기타,18380.0,24.0,10.0,12.0,5,9.0,60.0,16909.600000000002,7.999999999999988,100.0,33.704411142209736,B,16305.5,11846.2,19179.325515758268,True,False,False,10.0,12.0,2,4927349630.0,-6748311400.0,2026-01-19 12:49,1,,0
84,003490,대한항공,KOSPI,8947762062300,기타,24300.0,18.0,20.0,10.0,7,5.0,60.0,21600.0,11.11111111111111,18.48739495798319,13.7907120906123,A,22677.5,22236.0,23418.92169889048,False,True,True,20.0,10.0,0,79309204800.0,79767996400.0,2026-01-19 12:49,1,,0
85,002960,한국쉘석유,KOSPI,561600000000,기타,432000.0,12.0,20.0,17.0,0,10.0,59.0,426500.0,1.2731481481481481,3.361344537815126,46.44128237004272,A,446375.0,454320.0,477326.10937974957,False,True,True,20.0,17.0,0,-184058500.0,-426952000.0,2026-01-19 12:48,1,,0
86,034730,SK,KOSPI,21315794682000,기타,294000.0,25.0,20.0,0.0,7,7.0,59.0,266000.0,9.523809523809524,4.201680672268908,48.911864331440675,A,270750.0,264940.0,292363.13162294554,True,True,False,20.0,0.0,0,24515787500.0,13614481500.0,2026-01-19 12:49,1,,0
87,005810,풍산홀딩스,KOSPI,562274388000,기타,39000.0,20.0,30.0,0.0,0,9.0,59.0,36200.0,7.179487179487179,1.680672268907563,23.722111247239674,R,38205.0,37625.0,40469.07371941769,True,True,True,30.0,0.0,0,-298883800.0,-877369400.0,2026-01-19 12:48,1,,0
88,285130,SK케미칼,KOSPI,1171126458200,기타,67700.0,7.0,20.0,17.0,5,10.0,59.0,65500.0,3.2496307237813884,0.8403361344537815,16.17068935673353,A,67900.0,70560.0,76754.91764464209,False,True,True,20.0,17.0,1,1796771500.0,-110182800.0,2026-01-19 12:49,1,,0
89,031980,피에스케이홀딩스,KOSDAQ,1282962502500,기타,59500.0,25.0,10.0,10.0,4,9.0,58.0,54740.0,8.0,55.46218487394958,61.46283914276439,B,49442.5,47061.0,55953.22396982139,False,False,True,10.0,10.0,0,-258753100.0,18002487700.0,2026-01-19 12:49,1,,0
90,012330,현대모비스,KOSPI,41510156722500,기타,457500.0,25.0,10.0,10.0,4,9.0,58.0,420900.0,8.0,100.0,44.262547881258854,B,391550.0,348730.0,434488.1200010656,False,False,True,10.0,10.0,0,-214224616000.0,116802558000.0,2026-01-19 12:49,1,,0
91,253450,스튜디오드래곤,KOSDAQ GLOBAL,1381187983100,기타,45950.0,23.0,10.0,12.0,6,7.0,58.0,41800.0,9.031556039173013,71.42857142857143,51.77493351946799,B,43857.5,41114.0,46740.51508209796,True,False,False,10.0,12.0,2,-129244200.0,5970287250.0,2026-01-19 12:49,1,,0
92,005290,동진쎄미켐,KOSDAQ,2028301788300,기타,39450.0,25.0,10.0,10.0,2,10.0,57.0,39050.0,1.0139416983523446,35.294117647058826,44.49647999435103,B,39137.5,37310.0,43985.0227919786,False,False,True,10.0,10.0,2,-2841440350.0,-4025884900.0,2026-01-19 12:49,1,,0
93,001680,대상,KOSPI,753594543750,기타,21750.0,13.0,30.0,5.0,2,7.0,57.0,19810.0,8.919540229885058,14.285714285714286,17.3334056333098,R,21254.0,21137.6,22026.193298895607,True,True,True,30.0,5.0,1,-1187364100.0,-664954000.0,2026-01-19 12:49,1,,0
94,095610,테스,KOSDAQ,1000272235600,기타,50600.0,25.0,10.0,10.0,2,10.0,57.0,48900.0,3.3596837944664033,57.983193277310924,64.5157164628251,B,48557.5,43806.0,55198.908199478006,False,False,True,10.0,10.0,1,-7803966400.0,-4697856800.0,2026-01-19 12:49,1,,0
95,039490,키움증권,KOSPI,8688769623000,기타,321500.0,25.0,20.0,0.0,3,9.0,57.0,297000.0,7.620528771384137,5.882352941176471,47.669099549162375,A,306900.0,291890.0,324451.85226855957,True,True,False,20.0,0.0,0,1268218000.0,-2593122000.0,2026-01-19 12:49,1,,0
96,117730,티로보틱스,KOSDAQ,578470461000,기타,26500.0,24.0,0.0,20.0,3,9.0,56.0,24380.0,8.0,61.34453781512605,39.12829943086909,-,20103.0,18248.0,23370.053610321087,False,False,False,0.0,20.0,0,5813126200.0,-3555045850.0,2026-01-19 12:49,1,,0
97,375500,DL이앤씨,KOSPI,1681237919350,기타,43450.0,16.0,20.0,13.0,0,7.0,56.0,39350.0,9.4361334867664,32.773109243697476,27.47211910490998,A,41490.0,41073.0,44068.097533264656,True,False,True,20.0,13.0,0,-4200331950.0,-1118201350.0,2026-01-19 12:49,1,,0
98,064400,LG씨엔에스,KOSPI,6946722471600,기타,71700.0,22.0,0.0,20.0,4,9.0,55.0,65964.0,8.0,43.69747899159664,35.302567644518085,-,63385.0,61376.0,69614.89857331502,False,False,False,0.0,20.0,0,-41567273100.0,23037952400.0,2026-01-19 12:49,1,,0
99,080220,제주반도체,KOSDAQ,1066005681350,기타,30950.0,25.0,10.0,12.0,0,7.0,54.0,28250.0,8.723747980613894,100.0,75.78608279301179,B,26755.0,22185.2,31305.512735140615,True,False,False,10.0,12.0,0,-17357515000.0,-770088700.0,2026-01-19 12:49,1,,0
100,226950,올릭스,KOSDAQ,2822545643400,기타,139800.0,17.0,20.0,7.0,0,9.0,53.0,129700.0,7.224606580829756,3.361344537815126,20.182496392722786,A,140270.0,134534.0,158055.08725163137,False,True,True,20.0,7.0,0,-45475602000.0,-3879323600.0,2026-01-19 12:49,1,,0
