rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
38,004800,효성,KOSPI,2561282271000,기타,153000.0,22.0,10.0,12.0,15,9.0,68.0,140760.0,8.0,28.571428571428573,57.51850405034982,B,124745.0,130598.0,153844.98644371054,True,False,False,10.0,12.0,5,14497234200.0,1128767300.0,2026-01-19 12:49,1,,0
39,001040,CJ,KOSPI,5426921628000,기타,186000.0,22.0,30.0,0.0,7,9.0,68.0,171300.0,7.903225806451612,12.605042016806722,40.330210875587525,R,176790.0,177456.0,189449.67404857016,True,True,True,30.0,0.0,0,20566319000.0,2086403800.0,2026-01-19 12:48,1,,0
40,068270,셀트리온,KOSPI,47693440098500,기타,206500.0,25.0,20.0,5.0,8,10.0,68.0,202500.0,1.937046004842615,89.91596638655462,46.93850837723108,A,199840.0,190638.0,213907.2433428351,True,False,True,20.0,5.0,3,81403139000.0,-13835134500.0,2026-01-19 12:48,1,,0
41,083650,비에이치아이,KOSDAQ,1893795750000,기타,61200.0,22.0,20.0,17.0,4,5.0,68.0,52700.0,13.88888888888889,70.58823529411765,21.76578676813275,A,55355.0,50623.0,62353.22863020767,True,False,True,20.0,17.0,0,-17571170100.0,18063398500.0,2026-01-19 12:48,1,,0
42,180640,한진칼,KOSPI,8592305307300,기타,128700.0,25.0,20.0,12.0,6,5.0,68.0,113100.0,12.121212121212121,78.15126050420169,45.95458805706353,A,120125.0,111328.0,129633.0255800151,True,False,True,20.0,12.0,2,-1132375500.0,7816674600.0,2026-01-19 12:48,1,,0
43,298050,HS효성첨단소재,KOSPI,925109262000,기타,206500.0,21.0,20.0,10.0,11,5.0,67.0,176500.0,14.527845036319611,21.84873949579832,37.79536201781611,A,188435.0,194348.0,210078.69488303715,True,False,True,20.0,10.0,5,10428499300.0,-546343200.0,2026-01-19 12:49,1,,0
44,458870,씨어스테크놀로지,KOSDAQ,1603500408000,기타,126600.0,20.0,20.0,12.0,6,9.0,67.0,116472.0,8.0,0.0,19.512773816515182,A,120720.0,118952.0,149449.22353527384,False,True,True,20.0,12.0,1,-1023700800.0,4325523600.0,2026-01-19 12:48,1,,0
45,098460,고영,KOSDAQ,2059642650000,기타,30000.0,25.0,10.0,17.0,6,9.0,67.0,27600.0,8.0,77.3109243697479,46.23268353054994,B,25855.0,23911.6,31279.80580364285,True,False,False,10.0,17.0,1,-2879983600.0,3430843700.0,2026-01-19 12:48,1,,0
46,489790,한화비전,KOSPI,2741519577000,기타,54300.0,23.0,20.0,10.0,9,5.0,67.0,46300.0,14.732965009208105,81.5126050420168,72.32539396502818,A,46380.0,44773.0,55588.160676735206,True,False,True,20.0,10.0,1,11098844300.0,32490447800.0,2026-01-19 12:48,1,,0
47,023530,롯데쇼핑,KOSPI,2115998874000,기타,74800.0,17.0,20.0,10.0,12,7.0,66.0,67800.0,9.358288770053475,52.94117647058823,17.66373326786886,A,72245.0,72414.0,77919.20199872591,True,False,True,20.0,10.0,4,2706405700.0,7608821600.0,2026-01-19 12:49,1,,0
