rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
63,015760,한국전력,KOSPI,36142577535100,기타,56300.0,48950.0,24.0,10.0,13.0,9,5.0,61.0,13.0550621669627,29.41176470588235,35.03693388477854,-,50305.0,49872.0,55270.5920609182,True,False,10.0,13.0,2,56650439500.0,73532186800.0,2026-01-19 14:05,1,,0
64,103590,일진전기,KOSPI,2980336875000,기타,62500.0,59000.0,24.0,10.0,12.0,6,9.0,61.0,5.6000000000000005,22.689075630252102,39.84100445026689,-,58840.0,57486.0,65768.06803812509,True,False,10.0,12.0,2,-3082936400.0,1971909400.0,2026-01-19 14:04,1,,0
65,001040,CJ,KOSPI,5426921628000,기타,186000.0,171300.0,22.0,20.0,3.0,7,9.0,61.0,7.903225806451612,12.605042016806722,40.330210875587525,R,176790.0,177456.0,189449.67404857016,True,True,20.0,3.0,0,20566319000.0,2086403800.0,2026-01-19 14:04,1,,0
66,117730,티로보틱스,KOSDAQ,578470461000,기타,26500.0,24380.0,24.0,5.0,20.0,3,9.0,61.0,8.0,61.34453781512605,39.12829943086909,B,20103.0,18248.0,23370.053610321087,False,False,5.0,20.0,0,5813126200.0,-3555045850.0,2026-01-19 14:03,1,,0
67,039490,키움증권,KOSPI,8688769623000,기타,321500.0,297000.0,25.0,20.0,3.0,3,9.0,60.0,7.620528771384137,5.882352941176471,47.669099549162375,R,306900.0,291890.0,324451.85226855957,True,True,20.0,3.0,0,1268218000.0,-2593122000.0,2026-01-19 14:04,1,,0
68,347700,스피어,KOSDAQ,857665278320,기타,18380.0,16909.600000000002,24.0,10.0,12.0,5,9.0,60.0,7.999999999999988,100.0,33.704411142209736,-,16305.5,11846.2,19179.325515758268,True,False,10.0,12.0,2,4927349630.0,-6748311400.0,2026-01-19 14:04,1,,0
69,003160,디아이,KOSPI,832020000000,기타,29400.0,27048.0,25.0,10.0,10.0,6,9.0,60.0,8.0,58.8235294117647,66.74671934872867,-,25570.0,23761.8,29822.993931088968,True,False,10.0,10.0,1,-4241740350.0,9386839350.0,2026-01-19 14:04,1,,0
70,005850,에스엘,KOSPI,2433902448000,기타,52400.0,48208.0,24.0,5.0,18.0,4,9.0,60.0,8.0,100.0,39.71422282729179,B,44475.0,41381.0,49646.707081327695,False,False,5.0,18.0,0,-15411011900.0,12980569300.0,2026-01-19 14:04,1,,0
71,042700,한미반도체,KOSPI,16917915500000,기타,177500.0,164800.0,25.0,10.0,10.0,6,9.0,60.0,7.154929577464789,66.38655462184875,61.2870336076436,-,155020.0,135982.0,179551.48097482498,True,False,10.0,10.0,1,-19062895900.0,54382751500.0,2026-01-19 14:04,1,,0
72,281740,레이크머티리얼즈,KOSDAQ,1058261822800,기타,16100.0,13780.0,20.0,10.0,20.0,5,5.0,60.0,14.409937888198757,54.621848739495796,16.29308581182194,-,14819.0,14363.2,16324.69694454837,True,False,10.0,20.0,1,122101480.0,-3034959180.0,2026-01-19 14:04,1,,0
