rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
35,003490,대한항공,KOSPI,8947762062300,기타,24300.0,18.0,20.0,10.0,15,5.0,68.0,21600.0,11.11111111111111,37.28813559322034,13.7907120906123,R,22677.5,22236.0,23418.92169889048,24300.0,1.74,🚪Door 🧠Memory 🔥Past 🚀Pivot,0,True,6,100324901900.0,74676061600.0,20.0,10.0,,0,2026-01-19 08:20,1
36,079900,전진건설로봇,KOSPI,731086504500,기타,50100.0,20.0,20.0,10.0,9,9.0,68.0,46300.0,7.584830339321358,30.508474576271187,23.113046405340658,-,48202.5,47005.0,51626.57890291903,49050.0,1.64,🚪Door 🧠Memory 🔥Past 🚀Pivot,1,False,2,1372056400.0,749880950.0,20.0,10.0,,0,2026-01-19 08:20,1
37,241560,두산밥캣,KOSPI,5847219965000,기타,61000.0,22.0,20.0,5.0,12,9.0,68.0,56500.0,7.377049180327869,23.728813559322035,24.462615971215563,-,59305.0,58540.0,63871.846276063334,62900.0,1.17,🚪Door 🧠Memory 🔥Past,0,False,3,8004452900.0,6115020300.0,20.0,5.0,,0,2026-01-19 08:20,1
38,083650,비에이치아이,KOSDAQ,1893795750000,기타,61200.0,22.0,20.0,15.0,6,5.0,68.0,52700.0,13.88888888888889,100.0,21.76578676813275,-,55355.0,50623.0,62353.22863020767,64200.0,1.37,🚪Door 🧠Memory 🔥Past 💧Dry 🚀Pivot,4,False,1,-33803314800.0,12250984600.0,20.0,15.0,,0,2026-01-19 08:19,1
39,298050,HS효성첨단소재,KOSPI,925109262000,기타,206500.0,21.0,20.0,10.0,11,5.0,67.0,176500.0,14.527845036319611,30.508474576271187,37.79536201781611,-,188435.0,194348.0,210078.69488303715,202500.0,1.61,🚪Door 🧠Memory 🔥Past 🚀Pivot,0,False,6,10179788400.0,-557522200.0,20.0,10.0,,0,2026-01-19 08:20,1
40,348210,넥스틴,KOSDAQ GLOBAL,763773664500,기타,72900.0,22.0,30.0,0.0,6,9.0,67.0,67700.0,7.133058984910837,0.0,20.433394316329448,-,70915.0,68062.0,76174.49042653698,76000.0,0.85,🚪Door 🧘Squeeze 🧠Memory,0,False,2,-848938200.0,4209504700.0,30.0,0.0,,0,2026-01-19 08:19,1
41,458870,씨어스테크놀로지,KOSDAQ,1603500408000,기타,126600.0,20.0,20.0,10.0,7,9.0,66.0,116472.0,8.0,0.0,19.512773816515182,-,120720.0,118952.0,149449.22353527384,130000.0,0.38,🧘Squeeze 🧠Memory 🔥Past 💧Dry,3,False,0,143010800.0,3663761000.0,20.0,10.0,,0,2026-01-19 08:20,1
42,064960,SNT모티브,KOSPI,1007203322400,기타,37950.0,24.0,20.0,13.0,0,9.0,66.0,35100.0,7.5098814229249005,74.57627118644068,31.907587500255953,R,34820.0,33515.0,37678.90364066253,36900.0,2.58,🚪Door 🧠Memory 🔥Past 🚀Pivot+,0,True,0,-4365738500.0,-2432448600.0,20.0,13.0,,0,2026-01-19 08:19,1
43,011780,금호석유화학,KOSPI,3662666099400,기타,140700.0,23.0,20.0,5.0,9,9.0,66.0,129444.0,8.0,100.0,27.794927891011863,R,126860.0,121890.0,135058.46482903278,135500.0,0.88,🚪Door 🧠Memory 🔥Past,0,True,1,17157867000.0,35546407000.0,20.0,5.0,,0,2026-01-19 08:20,1
44,047920,HLB제약,KOSDAQ,556277077760,기타,16960.0,22.0,20.0,5.0,9,9.0,65.0,16090.0,5.129716981132075,13.559322033898304,39.386296651001665,-,16301.0,16035.2,18008.07710802172,17160.0,1.04,🧘Squeeze 🧠Memory 🔥Past,0,False,1,350051710.0,36764100.0,20.0,5.0,,0,2026-01-19 08:20,1
45,010140,삼성중공업,KOSPI,28028000000000,기타,31850.0,25.0,10.0,13.0,8,9.0,65.0,29302.0,8.0,13.559322033898304,45.9961467091761,R,26365.0,25917.0,30240.68425604042,29100.0,2.02,🧘Squeeze 🔥Past 🚀Pivot+,0,True,4,163581907400.0,-42764280100.0,10.0,13.0,,0,2026-01-19 08:20,1
46,131970,두산테스나,KOSDAQ GLOBAL,1012747271200,기타,52400.0,25.0,20.0,5.0,6,9.0,65.0,48950.0,6.583969465648855,30.508474576271187,61.65499420670217,-,49850.0,46607.0,54559.75574956372,53200.0,1.11,🚪Door 🧠Memory 🔥Past,1,False,1,-4390954300.0,3802501850.0,20.0,5.0,,0,2026-01-19 08:20,1
47,068270,셀트리온,KOSPI,47693440098500,기타,206500.0,25.0,20.0,5.0,5,10.0,65.0,202500.0,1.937046004842615,100.0,46.93850837723108,-,199840.0,190638.0,213907.2433428351,202500.0,0.63,🚪Door 🧠Memory 🔥Past,0,False,2,64416735000.0,-19457458000.0,20.0,5.0,,0,2026-01-19 08:19,1
48,095660,네오위즈,KOSDAQ,555163126400,기타,25400.0,17.0,30.0,0.0,7,10.0,64.0,24700.0,2.7559055118110236,0.0,17.589495148151375,-,25192.5,25219.0,26411.464066166438,26100.0,0.55,🚪Door 🧘Squeeze 🧠Memory,1,False,0,1383170450.0,317980050.0,30.0,0.0,,0,2026-01-19 08:20,1
49,365340,성일하이텍,KOSDAQ,621560656800,기타,50800.0,23.0,20.0,3.0,9,9.0,64.0,46736.0,8.0,15.254237288135593,28.735063014606112,R,42565.0,42043.0,46908.42857262445,50800.0,6.49,🧘Squeeze 🧠Memory ⚠️Hot,0,True,2,1951573750.0,2352194650.0,20.0,3.0,,0,2026-01-19 08:20,1
50,056080,유진로봇,KOSDAQ,1232274193200,기타,32850.0,25.0,0.0,18.0,12,9.0,64.0,30222.0,8.0,100.0,44.17838607598734,R,16682.5,14248.0,20993.361172741665,16920.0,2.28,🔥Past 💧Dry 🚀Pivot+,4,True,4,29418239560.0,11292195250.0,0.0,18.0,,0,2026-01-19 08:20,1
51,071320,지역난방공사,KOSPI,1215768120000,기타,105000.0,21.0,20.0,5.0,11,7.0,64.0,95300.0,9.238095238095239,1.694915254237288,31.359257860072415,-,99385.0,104202.0,113946.49058102096,108600.0,0.71,🧘Squeeze 🧠Memory 🔥Past,0,False,5,1836889800.0,-1144625400.0,20.0,5.0,,0,2026-01-19 08:20,1
52,002240,고려제강,KOSPI,592650000000,기타,21950.0,23.0,20.0,5.0,7,9.0,64.0,20194.0,8.0,86.44067796610169,25.133899137177686,R,20547.5,19468.8,21720.807976663385,21950.0,1.93,🚪Door 🧠Memory 🚀Pivot,0,True,0,136221700.0,41853380.0,20.0,5.0,,0,2026-01-19 08:20,1
53,437730,삼현,KOSDAQ,2320993904400,기타,73200.0,25.0,10.0,10.0,9,9.0,63.0,67344.0,8.0,77.96610169491525,50.86612458422683,R,60005.0,46093.0,71861.05689919322,41600.0,0.56,🚪Door 🔥Past 💧Dry,4,True,2,16590523000.0,2622591600.0,10.0,10.0,,0,2026-01-19 08:20,1
54,240810,원익IPS,KOSDAQ GLOBAL,3764735206700,기타,76700.0,25.0,20.0,5.0,4,9.0,63.0,71800.0,6.388526727509778,23.728813559322035,58.14483966540875,-,71615.0,66566.0,79179.54180765856,80000.0,0.43,🚪Door 🧠Memory 🔥Past,1,False,0,-21846284800.0,26843294000.0,20.0,5.0,,0,2026-01-19 08:20,1
55,031980,피에스케이홀딩스,KOSDAQ,1282962502500,기타,59500.0,25.0,10.0,10.0,9,9.0,63.0,54740.0,8.0,40.67796610169491,61.46283914276439,R,49442.5,47061.0,55953.22396982139,58000.0,1.89,🧠Memory 🔥Past 🚀Pivot,0,True,1,3953945100.0,18607519200.0,10.0,10.0,,0,2026-01-19 08:20,1
56,058650,세아홀딩스,KOSPI,584800000000,기타,146200.0,25.0,20.0,10.0,3,5.0,63.0,125800.0,13.953488372093023,100.0,55.59635487877644,R,136935.0,125992.0,144472.761319183,139700.0,1.2,🚪Door 🧠Memory 🔥Past 💧Dry,3,True,0,273105000.0,-72826400.0,20.0,10.0,,0,2026-01-19 08:20,1
57,064400,LG씨엔에스,KOSPI,6946722471600,기타,71700.0,22.0,10.0,18.0,4,9.0,63.0,65964.0,8.0,57.6271186440678,35.302567644518085,-,63385.0,61376.0,69614.89857331502,58600.0,2.45,🚪Door 🔥Past 💧Dry 🚀Pivot+,3,False,0,-26631042700.0,7879337800.0,10.0,18.0,,0,2026-01-19 08:20,1
58,267260,HD현대일렉트릭,KOSPI,33091269930000,기타,918000.0,24.0,20.0,5.0,9,5.0,63.0,790000.0,13.943355119825709,0.0,34.2261193099578,-,837700.0,826160.0,923576.7321432588,868000.0,0.96,🚪Door 🧘Squeeze 🔥Past,0,False,1,17215744000.0,1748132000.0,20.0,5.0,,0,2026-01-19 08:20,1
59,018260,삼성에스디에스,KOSPI,14229777420000,기타,183900.0,24.0,20.0,5.0,5,9.0,63.0,171300.0,6.851549755301795,23.728813559322035,34.46711031227395,R,175050.0,172826.0,183653.36324781965,188800.0,1.31,🚪Door 🧠Memory 🚀Pivot,0,True,1,39440640000.0,-28965189300.0,20.0,5.0,,0,2026-01-19 08:20,1
60,399720,가온칩스,KOSDAQ,716905956000,기타,61800.0,25.0,20.0,5.0,4,9.0,63.0,56856.0,8.0,100.0,55.41465973439453,-,54900.0,50925.0,62118.68675095182,64300.0,0.71,🚪Door 🧠Memory 🔥Past,0,False,0,-5317119900.0,341958200.0,20.0,5.0,,0,2026-01-19 08:20,1
61,055550,신한지주,KOSPI,38693946239800,기타,79700.0,19.0,30.0,0.0,4,10.0,63.0,76700.0,3.7641154328732744,0.0,22.626741182532335,-,78165.0,78206.0,81528.33611807268,78800.0,1.03,🚪Door 🧘Squeeze 🧠Memory,0,False,0,-31874662500.0,49878097700.0,30.0,0.0,,0,2026-01-19 08:20,1
62,281740,레이크머티리얼즈,KOSDAQ,1058261822800,기타,16100.0,20.0,30.0,8.0,0,5.0,63.0,13780.0,14.409937888198757,10.169491525423728,16.29308581182194,-,14819.0,14363.2,16324.69694454837,16100.0,6.23,🚪Door 🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,2,False,0,-4406965570.0,-1772439580.0,30.0,8.0,,0,2026-01-19 08:19,1
63,160190,하이젠알앤엠,KOSDAQ,2026252800000,기타,65600.0,22.0,20.0,3.0,9,9.0,63.0,60352.0,8.0,8.474576271186441,20.080730761121732,B,57910.0,55882.0,66700.95317603895,62200.0,3.59,🚪Door 🧘Squeeze ⚠️Hot,1,False,2,4376048000.0,11537999800.0,20.0,3.0,,0,2026-01-19 08:20,1
64,015760,한국전력,KOSPI,36142577535100,기타,56300.0,24.0,20.0,5.0,9,5.0,63.0,48950.0,13.0550621669627,16.949152542372882,35.03693388477854,R,50305.0,49872.0,55270.5920609182,49550.0,1.17,🚪Door 🧘Squeeze 🔥Past,1,True,1,41232618900.0,69234016200.0,20.0,5.0,,0,2026-01-19 08:20,1
65,014680,한솔케미칼,KOSPI,2782790372500,기타,245500.0,25.0,20.0,0.0,11,7.0,63.0,225000.0,8.350305498981669,5.084745762711864,44.39881305037477,-,233975.0,230840.0,251593.56980186186,227000.0,0.67,🚪Door 🧘Squeeze,0,False,5,14024820000.0,-7547542000.0,20.0,0.0,,0,2026-01-19 08:20,1
66,075580,세진중공업,KOSPI,1179626212000,기타,20750.0,24.0,20.0,5.0,4,9.0,62.0,19090.0,8.0,0.0,37.94106688697089,-,18755.5,18631.6,22713.966532187056,21700.0,1.04,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-4844671210.0,736512030.0,20.0,5.0,,0,2026-01-19 08:20,1
67,032830,삼성생명,KOSPI,33400000000000,기타,167000.0,24.0,10.0,10.0,9,9.0,62.0,156200.0,6.467065868263473,55.932203389830505,31.636446673621567,-,160840.0,156826.0,168179.72623280273,154300.0,1.32,🚪Door 🔥Past 🚀Pivot,0,False,1,17675200700.0,2977604300.0,10.0,10.0,,0,2026-01-19 08:20,1
