rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
33,80220,제주반도체,KOSDAQ,1062561398050,30850.0,25.0,15.0,0.0,0,7.0,47.0,28250.0,8.427876823338735,100.0,73.7253102624406,R,26131.0,21964.6,0,True,15.0,0.0,0.0,0,0,,0,-314054.0,-20194.0,,0,2026-01-18 05:45,1
34,83650,비에이치아이,KOSDAQ,1838095875000,59400.0,20.0,0.0,15.0,6,5.0,46.0,52700.0,11.27946127946128,68.0672268907563,18.464404246253387,-,55060.0,50303.0,5,False,0.0,15.0,15.0,0,0,,1,-608798.0,208432.0,,0,2026-01-18 05:45,1
35,124500,아이티센글로벌,KOSDAQ,747185769400,32200.0,25.0,0.0,12.0,0,9.0,46.0,29850.0,7.298136645962733,72.26890756302521,43.18214868175282,-,31127.5,25380.0,7,False,0.0,12.0,12.0,0,0,,0,-148225.0,-13324.0,,0,2026-01-18 05:45,1
36,131970,두산테스나,KOSDAQ GLOBAL,991487309400,51300.0,25.0,5.0,0.0,6,10.0,46.0,48950.0,4.580896686159844,11.764705882352942,61.64730379203501,-,49470.0,46508.0,1,False,5.0,0.0,0.0,0,0,,1,-87307.0,75046.0,,0,2026-01-18 05:45,1
37,950160,코오롱티슈진,KOSDAQ,6216628495500,74700.0,24.0,0.0,5.0,9,7.0,45.0,67500.0,9.63855421686747,75.63025210084034,36.35171950870397,-,73620.0,69548.0,3,False,0.0,5.0,5.0,0,0,,2,33528.0,1151.0,,0,2026-01-18 05:45,1
5,54450,텔레칩스,KOSDAQ,225649071700,14900.0,23.0,0.0,12.0,0,10.0,45.0,14500.0,2.684563758389262,100.0,54.51445716302146,-,14790.0,13376.0,6,False,0.0,12.0,12.0,0,0,,0,-148680.0,-51188.0,,0,2026-01-18 05:41,2
39,83450,GST,KOSDAQ,508668000000,27600.0,25.0,0.0,5.0,4,10.0,44.0,26500.0,3.985507246376811,50.42016806722689,43.63933598458218,-,27552.5,26926.0,4,False,0.0,5.0,5.0,0,0,,0,-78716.0,6081.0,,0,2026-01-18 05:45,1
38,195870,해성디에스,KOSPI,924800000000,54400.0,22.0,5.0,0.0,12,5.0,44.0,46350.0,14.79779411764706,0.0,20.775453510732,-,53365.0,52929.0,0,False,5.0,0.0,0.0,0,0,,3,59178.0,258846.0,,0,2026-01-18 05:46,1
45,90430,아모레퍼시픽,KOSPI,7101020942600,121400.0,7.0,10.0,8.0,8,10.0,43.0,116400.0,4.118616144975288,12.605042016806722,20.281428108156764,C,120880.0,123532.0,0,False,10.0,8.0,8.0,0,0,,3,12014.0,-84178.0,,0,2026-01-18 05:45,1
44,15760,한국전력,KOSPI,35115435011900,54700.0,24.0,5.0,0.0,9,5.0,43.0,47000.0,14.076782449725778,24.369747899159663,34.021771807399666,-,50050.0,49616.0,1,False,5.0,0.0,0.0,0,0,,1,731461.0,1270658.0,,0,2026-01-18 05:46,1
43,67310,하나마이크론,KOSDAQ,1855269320450,27950.0,25.0,0.0,0.0,9,9.0,43.0,26000.0,6.976744186046512,36.97478991596638,48.78670623299393,-,26332.5,25602.0,0,False,0.0,0.0,0.0,0,0,,1,340244.0,20520.0,,0,2026-01-18 05:46,1
40,278470,에이피알,KOSPI,9002072527500,240500.0,21.0,5.0,0.0,12,5.0,43.0,210000.0,12.681912681912683,11.764705882352942,32.62786120331992,-,232775.0,238180.0,0,False,5.0,0.0,0.0,0,0,,4,68924.0,138669.0,,0,2026-01-18 05:46,1
41,290650,엘앤씨바이오,KOSDAQ,1371281877600,55200.0,15.0,5.0,5.0,8,10.0,43.0,53400.0,3.260869565217391,26.89075630252101,49.69095124792977,-,61695.0,59774.0,3,False,5.0,5.0,5.0,0,0,,4,61937.0,-46463.0,,0,2026-01-18 05:45,1
