rank,code,name,market,close,trend_score,trigger_score,liq_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
94,122870,와이지엔터테인먼트,KOSDAQ,68800.0,38.0,0.0,16.0,54.0,62400.0,9.30232558139535,69.74789915966386,40.36752813246176,-,66360.0,64974.0,0.0,0,0,,"quot, 70, 와이지엔터테인먼트, 등이, 코스닥, 30",10,2026-01-17 23:25,1
93,218410,RFHIC,KOSDAQ,35100.0,40.0,0.0,14.0,54.0,34200.0,2.564102564102564,74.78991596638656,63.67049252631746,-,35110.0,32146.0,0.0,0,0,,"통신장비, 통신장비 상장기업, 상장기업, 1월, 쏠리드, 브랜드평판",10,2026-01-17 23:26,1
92,6400,삼성SDI,KOSPI,289000.0,37.0,5.0,12.0,54.0,259500.0,10.207612456747404,14.285714285714286,40.01644206594243,-,279100.0,295880.0,5.0,0,0,,"계약학과, 배터리, 삼성sdi, 대기업, 대기업 계약학과, sk하이닉스",10,2026-01-17 23:18,1
98,84370,유진테크,KOSDAQ,82000.0,34.0,5.0,14.0,53.0,80700.0,1.5853658536585369,12.605042016806722,35.19836831005983,-,80565.0,82864.0,5.0,0,0,,"유진테크, 반도체, 네이버페이, 약세를, ap시스템, 이오테크닉스",10,2026-01-17 23:23,1
99,83650,비에이치아이,KOSDAQ,59400.0,35.0,0.0,18.0,53.0,52700.0,11.27946127946128,68.0672268907563,18.464404246253387,-,55060.0,50303.0,0.0,0,0,,"비에이치아이, 코스닥, 있다, 기관, 우리기술, 보성파워텍",10,2026-01-17 23:23,1
100,347850,디앤디파마텍,KOSDAQ,92500.0,33.0,0.0,20.0,53.0,85800.0,7.243243243243243,48.739495798319325,26.245142709840486,-,94690.0,90963.8,0.0,0,0,,"quot, 디앤디파마텍, 바이오, 알테오젠, jp모건, 파마리서치",10,2026-01-17 23:21,1
101,290650,엘앤씨바이오,KOSDAQ,55200.0,30.0,5.0,18.0,53.0,53400.0,3.260869565217391,26.89075630252101,49.69095124792977,-,61695.0,59774.0,5.0,0,0,,"quot, 엘앤씨바이오, 파마리서치, 리투오, 있다, 16일",10,2026-01-17 23:24,1
102,500,가온전선,KOSPI,90200.0,43.0,0.0,10.0,53.0,83100.0,7.87139689578714,57.98319327731093,29.21875476901446,-,87075.0,80324.0,0.0,0,0,,"대한전선, 가온전선, 전력망, 투자, 등은, 대한전선 가온전선",10,2026-01-17 23:24,1
103,226950,올릭스,KOSDAQ,137700.0,30.0,5.0,18.0,53.0,124500.0,9.586056644880172,10.084033613445378,21.634711154410983,-,140095.0,134112.0,5.0,0,0,,"올릭스, 올릭스는, 바이오, 디앤디파마텍, quot, 코스닥",10,2026-01-17 23:22,1
104,10120,LS ELECTRIC,KOSPI,533000.0,40.0,0.0,12.0,52.0,468000.0,12.195121951219512,49.57983193277311,23.12250024238366,-,485825.0,478790.0,0.0,0,0,,"ls, electric, ls electric, 효성중공업, hd현대일렉트릭, 전력",10,2026-01-17 23:18,1
