rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,keywords,news_count,scan_date,chunk
53,012510,더존비즈온,KOSPI,2907632428800,기타,95700.0,22.0,15.0,8.0,3,9.0,57.0,88044.0,8.0,21.008403361344538,40.524453252964726,B,89360.0,90560.0,0,False,0,8551061700.0,-1471282600.0,15.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
54,086280,현대글로비스,KOSPI,20475000000000,기타,273000.0,25.0,15.0,8.0,0,9.0,57.0,251160.0,8.0,100.0,62.62541462802166,R,210090.0,185694.0,0,True,0,-147203214000.0,-55734830500.0,15.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
55,348340,뉴로메카,KOSDAQ,1071250459400,기타,93400.0,25.0,15.0,0.0,7,9.0,56.0,85928.0,8.0,100.0,44.03411078632202,R,40557.5,34005.0,0,True,0,3486447150.0,15083437350.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
56,007810,코리아써키트,KOSPI,1476296937500,기타,62500.0,25.0,15.0,0.0,7,9.0,56.0,57500.0,8.0,100.0,69.0702500652359,R,46847.5,37953.0,2,True,0,5941092400.0,18734294800.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
57,011780,금호석유화학,KOSPI,3662666099400,기타,140700.0,23.0,15.0,0.0,9,9.0,56.0,129444.0,8.0,78.99159663865547,27.794927891011863,R,126860.0,121890.0,0,True,1,17157867000.0,35546407000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
58,005490,POSCO홀딩스,KOSPI,28124200820000,기타,347500.0,24.0,20.0,0.0,7,5.0,56.0,298000.0,14.244604316546763,6.722689075630252,31.897131770677056,R,315475.0,312990.0,0,True,0,143876365000.0,111727298500.0,20.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
59,272210,한화시스템,KOSPI,17153880521200,기타,90800.0,25.0,15.0,0.0,7,9.0,56.0,83536.0,8.0,100.0,63.88967391591403,R,67087.5,56584.0,1,True,0,8393419000.0,16709311300.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
60,098460,고영,KOSDAQ,2059642650000,기타,30000.0,25.0,10.0,8.0,4,9.0,56.0,27600.0,8.0,77.3109243697479,46.23268353054994,B,25855.0,23911.6,2,False,0,-18973607500.0,950087450.0,10.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
61,006800,미래에셋증권,KOSPI,18118389201300,기타,31950.0,25.0,15.0,0.0,6,9.0,55.0,29394.0,8.0,74.78991596638656,68.30230448468569,R,26345.0,23873.0,1,True,1,-13430810450.0,40250541600.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
62,097520,엠씨넥스,KOSPI,549017325000,기타,31550.0,25.0,0.0,8.0,15,7.0,55.0,28500.0,9.667194928684628,72.26890756302521,45.9553306491804,-,29452.5,27975.0,0,False,9,2201646300.0,35943250.0,0.0,8.0,8.0,0,0,,,0,2026-01-19 09:21,1
63,034020,두산에너빌리티,KOSPI,61109533328400,기타,95400.0,25.0,15.0,0.0,9,5.0,54.0,81900.0,14.150943396226415,33.61344537815126,42.433103663059974,R,82495.0,79340.0,0,True,1,526587165100.0,85217762100.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
64,009520,포스코엠텍,KOSDAQ GLOBAL,771222859560,기타,18520.0,20.0,20.0,0.0,5,9.0,54.0,17038.4,8.0,12.605042016806722,19.004490981507807,R,16254.0,15928.8,2,True,1,11149267160.0,-1327352390.0,20.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
65,298040,효성중공업,KOSPI,22005933280000,기타,2360000.0,21.0,20.0,0.0,4,9.0,54.0,2171200.0,8.0,2.5210084033613445,31.46418620648185,R,1938300.0,1984220.0,0,True,0,-6171601000.0,93517848000.0,20.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
66,000250,삼천당제약,KOSDAQ,6485991008000,기타,276500.0,24.0,15.0,0.0,6,9.0,54.0,254380.0,8.0,31.092436974789916,34.03328947602192,R,245425.0,231500.0,0,True,2,-1979155000.0,28614031500.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
67,005930,삼성전자,KOSPI,883801941754600,기타,149300.0,25.0,15.0,0.0,9,5.0,54.0,132700.0,11.118553248492967,84.03361344537815,76.25050930325565,R,129325.0,113274.0,0,True,3,-1274854060400.0,1113598074700.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
68,028260,삼성물산,KOSPI,49123221216000,기타,289000.0,25.0,15.0,0.0,8,5.0,53.0,247500.0,14.359861591695502,65.54621848739495,56.868715329178386,R,259400.0,242810.0,0,True,4,57392528500.0,-8633449500.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
69,397030,에이프릴바이오,KOSDAQ,1115160064300,기타,48050.0,20.0,0.0,12.0,11,10.0,53.0,46500.0,3.225806451612903,94.11764705882354,53.989043849833976,-,51685.0,44188.0,7,False,5,12701934600.0,-15417596150.0,0.0,12.0,12.0,0,0,,,0,2026-01-19 09:21,1
70,007700,F&F홀딩스,KOSPI,769770742560,기타,19680.0,14.0,0.0,18.0,12,9.0,53.0,18250.0,7.266260162601626,38.65546218487395,22.70369395448865,-,19389.5,19757.6,4,False,3,143248090.0,197223610.0,0.0,18.0,18.0,0,0,,,0,2026-01-19 09:21,1
71,000990,DB하이텍,KOSPI,3728343191600,기타,85700.0,25.0,15.0,0.0,4,9.0,53.0,78844.0,8.0,68.0672268907563,51.125147217871486,R,73225.0,68130.0,0,True,0,-4880582600.0,41735653100.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
72,352820,하이브,KOSPI,15616270334000,기타,366500.0,25.0,15.0,8.0,0,5.0,53.0,319500.0,12.824010914051842,95.7983193277311,45.450419622207086,R,329550.0,309230.0,0,True,0,-16328812000.0,-53494287000.0,15.0,8.0,8.0,0,0,,,0,2026-01-19 09:20,1
73,058650,세아홀딩스,KOSPI,584800000000,기타,146200.0,25.0,15.0,5.0,3,5.0,53.0,125800.0,13.953488372093023,71.42857142857143,55.59635487877644,R,136935.0,125992.0,3,True,0,273105000.0,-72826400.0,15.0,5.0,5.0,0,0,,,0,2026-01-19 09:21,1
74,000880,한화,KOSPI,9362346001500,기타,124900.0,25.0,15.0,0.0,4,9.0,53.0,114908.0,8.0,86.5546218487395,47.250817652753256,R,93850.0,87960.0,0,True,0,-33348871600.0,21001190400.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
75,166090,하나머티리얼즈,KOSDAQ GLOBAL,1113483046200,기타,56300.0,25.0,15.0,0.0,4,9.0,53.0,51796.0,8.0,53.78151260504202,44.75366415616075,R,46847.5,44176.0,0,True,0,-4384442100.0,10428672000.0,15.0,0.0,0.0,0,0,,,0,2026-01-19 09:21,1
