rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
46,102120,어보브반도체,KOSDAQ,210346307990,기타,11830.0,25.0,10.0,12.0,2,10.0,59.0,11490.0,2.8740490278951816,44.53781512605042,51.830457700517805,B,11706.0,11374.2,13192.95745212417,False,False,True,10.0,12.0,1,-120784920.0,-1585830.0,2026-01-19 12:45,2,,0
47,115310,인포바인,KOSDAQ,220308927000,기타,69000.0,19.0,10.0,15.0,9,5.0,58.0,59200.0,14.202898550724639,19.327731092436974,23.462969996310626,B,64180.0,68708.0,77049.2880417581,False,True,False,10.0,15.0,1,56109300.0,2394500.0,2026-01-19 12:46,2,,0
48,344820,KCC글라스,KOSPI,426412670400,기타,26700.0,14.0,30.0,0.0,5,9.0,58.0,25000.0,6.367041198501873,12.605042016806722,38.67669062252666,R,26155.0,26590.0,27765.859774826436,True,True,True,30.0,0.0,2,256386450.0,-1279258150.0,2026-01-19 12:45,2,,0
49,006110,삼아알미늄,KOSPI,353085984000,기타,24000.0,12.0,20.0,12.0,5,9.0,58.0,22500.0,6.25,0.0,15.530678567812371,A,23957.5,24189.0,26964.10211943113,False,True,True,20.0,12.0,1,421212200.0,-63414500.0,2026-01-19 12:45,2,,0
50,253590,네오셈,KOSDAQ,489141178600,기타,11150.0,25.0,10.0,10.0,4,9.0,58.0,10590.0,5.0224215246636765,42.016806722689076,48.229206147258374,B,10764.5,10576.8,12710.548483315764,False,False,True,10.0,10.0,0,-1112688100.0,220994280.0,2026-01-19 12:45,2,,0
51,060720,KH바텍,KOSDAQ,340955164800,기타,14400.0,23.0,10.0,13.0,2,9.0,57.0,13248.0,8.0,82.3529411764706,27.341787048894027,B,12129.0,11878.0,13967.910193349155,False,False,True,10.0,13.0,1,-3527072410.0,-632154240.0,2026-01-19 12:45,2,,0
52,286940,롯데이노베이트,KOSPI,338897820800,기타,22400.0,23.0,10.0,8.0,7,9.0,57.0,20608.0,8.0,46.21848739495798,44.55629704370089,B,20076.0,19856.8,21474.742783245583,False,False,True,10.0,8.0,0,121335600.0,341783850.0,2026-01-19 12:46,2,,0
53,322310,오로스테크놀로지,KOSDAQ,236036858400,기타,25200.0,25.0,10.0,10.0,5,7.0,57.0,23000.0,8.73015873015873,31.932773109243698,41.701150291148,B,24677.5,24040.0,27758.936472246,False,False,True,10.0,10.0,1,568953100.0,-1275984100.0,2026-01-19 12:45,2,,0
54,114840,아이패밀리에스씨,KOSDAQ,264994470000,기타,15300.0,13.0,20.0,10.0,5,9.0,57.0,14450.0,5.555555555555555,19.327731092436974,26.376872731524145,A,14506.5,14936.4,18165.000381493228,False,True,True,20.0,10.0,1,274023320.0,-362512790.0,2026-01-19 12:45,2,,0
55,394280,오픈엣지테크놀로지,KOSDAQ,311701851270,기타,14130.0,23.0,10.0,12.0,2,9.0,56.0,13000.0,7.9971691436659595,100.0,49.7644250825897,B,13620.0,12487.8,15066.60530071135,False,False,True,10.0,12.0,1,-608212590.0,-69866990.0,2026-01-19 12:45,2,,0
56,028100,동아지질,KOSPI,227755429020,기타,17010.0,15.0,10.0,12.0,9,10.0,56.0,16350.0,3.880070546737213,96.63865546218487,9.308986329296884,B,17042.5,16442.8,18460.73136659974,False,False,True,10.0,12.0,2,234077550.0,1005258350.0,2026-01-19 12:46,2,,0
57,199820,제일일렉트릭,KOSDAQ,223755400000,기타,10070.0,20.0,10.0,12.0,5,9.0,56.0,9340.0,7.249255213505462,35.294117647058826,51.972861501279915,B,9451.0,9491.4,11183.04670487086,False,False,True,10.0,12.0,1,23273060.0,-7865390.0,2026-01-19 12:46,2,,0
58,462350,이노스페이스,KOSDAQ,435103711900,기타,21100.0,25.0,10.0,12.0,0,9.0,56.0,19412.0,8.0,100.0,88.56045106874356,B,16755.0,13283.86,20788.21842093837,True,False,False,10.0,12.0,0,-8058615750.0,-10169773350.0,2026-01-19 12:45,2,,0
59,190510,나무가,KOSDAQ,357453317650,기타,25450.0,25.0,10.0,12.0,2,7.0,56.0,23350.0,8.25147347740668,100.0,57.98470560198405,B,21925.0,18541.8,25024.72362717407,True,False,False,10.0,12.0,1,-1963398700.0,-191956300.0,2026-01-19 12:45,2,,0
60,114190,강원에너지,KOSDAQ,365983762380,기타,14010.0,16.0,10.0,12.0,8,9.0,55.0,13010.0,7.137758743754461,16.80672268907563,31.257401273038887,B,13601.0,15018.0,18344.747795464955,False,True,False,10.0,12.0,3,97040600.0,-19648830.0,2026-01-19 12:46,2,,0
61,095500,미래나노텍,KOSDAQ,330256489350,기타,10650.0,15.0,10.0,12.0,9,9.0,55.0,10100.0,5.164319248826291,0.8403361344537815,27.318245353800904,B,10566.0,11542.4,13498.695443637649,False,True,False,10.0,12.0,1,133835850.0,31310090.0,2026-01-19 12:46,2,,0
62,322180,LS티라유텍,KOSDAQ,210265939200,기타,10050.0,25.0,10.0,10.0,5,5.0,55.0,8700.0,13.432835820895523,99.15966386554622,60.15748973334222,B,8815.5,7716.0,10048.884652675279,True,False,False,10.0,10.0,1,1859589210.0,-4135901850.0,2026-01-19 12:46,2,,0
63,051370,인터플렉스,KOSDAQ,247037928480,기타,10590.0,22.0,10.0,12.0,6,5.0,55.0,9520.0,10.103871576959396,79.83193277310924,50.84797219662645,B,10358.5,10395.2,11810.365474245204,False,False,True,10.0,12.0,1,-266547220.0,5666840.0,2026-01-19 12:46,2,,0
64,140670,알에스오토메이션,KOSDAQ,280550504000,기타,21850.0,25.0,0.0,15.0,5,9.0,54.0,20102.0,8.0,100.0,53.13083984495678,-,17546.0,14930.4,19489.17052735751,False,False,False,0.0,15.0,2,1551745280.0,-1059721800.0,2026-01-19 12:46,2,,0
65,029460,케이씨,KOSPI,371136927150,기타,28050.0,25.0,10.0,5.0,4,10.0,54.0,26900.0,4.09982174688057,31.932773109243698,50.61877659965062,B,27060.0,25995.0,28586.284659382334,True,False,False,10.0,5.0,0,-1900020300.0,2619675000.0,2026-01-19 12:46,2,,0
66,012200,계양전기,KOSPI,303806771640,기타,11160.0,23.0,10.0,12.0,0,9.0,54.0,10267.2,7.999999999999993,95.7983193277311,28.831401529374027,B,8086.5,4102.7,11102.816909128063,True,False,False,10.0,12.0,0,-1464185600.0,-2718620.0,2026-01-19 12:45,2,,0
67,270660,에브리봇,KOSDAQ,315086741400,기타,24900.0,25.0,0.0,17.0,3,9.0,54.0,22908.0,8.0,65.54621848739495,42.34635471613519,-,21526.0,20150.2,23402.666177394793,False,False,False,0.0,17.0,0,5506051350.0,-4484998750.0,2026-01-19 12:46,2,,0
68,382900,범한퓨얼셀,KOSDAQ,283418350000,기타,32350.0,21.0,0.0,17.0,6,9.0,53.0,29762.0,8.0,36.97478991596638,37.41642952119683,-,28445.0,29563.0,36019.820239107125,False,False,False,0.0,17.0,1,-288633550.0,190565400.0,2026-01-19 12:46,2,,0
69,003800,에이스침대,KOSDAQ,343235500000,기타,30950.0,15.0,10.0,12.0,6,10.0,53.0,29600.0,4.361873990306947,68.90756302521008,17.97755916603888,B,31022.5,30529.0,33189.58586520722,False,False,True,10.0,12.0,2,-5682550.0,30850.0,2026-01-19 12:46,2,,0
70,004310,현대약품,KOSPI,433600000000,기타,13550.0,25.0,0.0,12.0,7,9.0,53.0,12466.0,8.0,100.0,52.31647830550144,-,8645.5,6140.7,10756.040915050937,False,False,False,0.0,12.0,0,8590653680.0,1881670.0,2026-01-19 12:46,2,,0
