rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
21,037460,삼지전자,KOSDAQ,274640725260,기타,16830.0,25.0,20.0,5.0,6,9.0,65.0,15720.0,6.59536541889483,100.0,61.044858135016334,-,15570.0,14141.2,16838.384350006083,16500.0,0.8,🚪Door 🧠Memory 🔥Past,0,False,1,-278266360.0,14031480.0,20.0,5.0,,0,2026-01-19 08:18,2
22,058430,포스코스틸리온,KOSPI,248100000000,기타,41350.0,21.0,20.0,13.0,6,5.0,65.0,35850.0,13.301088270858525,84.7457627118644,29.40633614216299,R,38882.5,38481.0,40811.97286674578,40450.0,2.22,🚪Door 🧠Memory 🔥Past 🚀Pivot+,0,True,1,-203226200.0,216454450.0,20.0,13.0,,0,2026-01-19 08:18,2
23,244920,에이플러스에셋,KOSPI,248232469140,기타,10980.0,23.0,10.0,10.0,12,9.0,64.0,10101.6,8.0,100.0,25.530159501254825,-,9609.5,8582.2,11117.270039585632,8160.0,0.8,🚪Door 🔥Past 💧Dry,3,False,4,4728402890.0,1314630150.0,10.0,10.0,,0,2026-01-19 08:19,2
24,230360,에코마케팅,KOSDAQ,493500227360,기타,15920.0,25.0,20.0,5.0,4,10.0,64.0,15890.0,0.18844221105527637,100.0,65.20881163332213,R,13912.5,12176.4,15838.899306831181,15900.0,0.75,🚪Door 🧠Memory 🔥Past,0,True,0,-6392188170.0,13175466020.0,20.0,5.0,,0,2026-01-19 08:18,2
25,253590,네오셈,KOSDAQ,489141178600,기타,11150.0,25.0,20.0,5.0,4,9.0,63.0,10590.0,5.0224215246636765,0.0,48.229206147258374,-,10764.5,10576.8,12710.548483315764,10960.0,0.46,🧘Squeeze 🧠Memory 🔥Past,2,False,0,-1830966360.0,863115550.0,20.0,5.0,,0,2026-01-19 08:18,2
26,170920,엘티씨,KOSDAQ,235051803500,기타,22250.0,25.0,20.0,5.0,4,9.0,63.0,20750.0,6.741573033707865,45.76271186440678,62.309233815248454,-,20656.0,18628.8,23317.996806968145,22400.0,0.56,🚪Door 🧠Memory 🔥Past,0,False,0,-5291435350.0,1442022600.0,20.0,5.0,,0,2026-01-19 08:18,2
27,110990,디아이티,KOSDAQ,338310000000,기타,17900.0,25.0,20.0,5.0,4,9.0,63.0,16870.0,5.754189944134079,50.847457627118644,48.56855178050157,-,16384.5,15263.8,18039.63737015173,18390.0,0.77,🚪Door 🧠Memory 🔥Past,0,False,0,-595571870.0,998124050.0,20.0,5.0,,0,2026-01-19 08:18,2
28,042370,비츠로테크,KOSDAQ,281126268250,기타,10730.0,24.0,20.0,10.0,0,9.0,63.0,9871.6,8.0,100.0,37.618312892897116,R,9536.0,8904.6,10342.590857969659,10620.0,1.69,🚪Door 🧠Memory 🔥Past 🚀Pivot,1,True,0,-3352916020.0,-210482560.0,20.0,10.0,,0,2026-01-19 08:18,2
29,078350,한양디지텍,KOSDAQ,357480757900,기타,23450.0,25.0,10.0,10.0,9,9.0,63.0,21574.0,8.0,8.474576271186441,49.623194725146405,B,22254.0,21808.6,25290.7520116763,25750.0,1.84,🧘Squeeze 🔥Past 🚀Pivot,0,False,1,567297700.0,1168184300.0,10.0,10.0,,0,2026-01-19 08:19,2
30,286940,롯데이노베이트,KOSPI,338897820800,기타,22400.0,23.0,20.0,8.0,7,5.0,63.0,19900.0,11.160714285714286,61.016949152542374,44.55629704370089,R,20076.0,19856.8,21474.742783245583,21400.0,3.22,🚪Door 🧠Memory 🔥Past ⚠️Hot,0,True,0,570972240.0,287467270.0,20.0,8.0,,0,2026-01-19 08:19,2
31,094820,일진파워,KOSDAQ,204316506950,기타,13550.0,24.0,20.0,5.0,8,5.0,62.0,11920.0,12.029520295202952,100.0,31.430042009157507,-,13004.0,11723.0,13937.867606929325,13360.0,0.94,🚪Door 🧠Memory 🔥Past,1,False,3,3759817580.0,-3864490.0,20.0,5.0,,0,2026-01-19 08:19,2
32,232680,라온테크,KOSDAQ,204308014200,기타,16300.0,25.0,10.0,10.0,7,9.0,61.0,14996.0,8.0,100.0,77.0847941370154,R,13355.5,10222.0,15607.863052679477,14550.0,1.71,🚪Door 🔥Past 🚀Pivot,2,True,0,2075690400.0,85801270.0,10.0,10.0,,0,2026-01-19 08:19,2
33,053610,프로텍,KOSDAQ,401500000000,기타,36500.0,23.0,20.0,5.0,4,9.0,61.0,34250.0,6.164383561643835,40.67796610169491,28.56095431431885,-,34932.5,34277.0,37381.12143480529,35800.0,1.16,🚪Door 🧠Memory 🔥Past,1,False,0,-711053250.0,457322400.0,20.0,5.0,,0,2026-01-19 08:18,2
34,032940,원익,KOSDAQ,265621158000,기타,14600.0,25.0,10.0,12.0,5,9.0,61.0,13432.0,8.0,100.0,69.75600854410895,R,11227.5,8916.2,13830.43442666336,14350.0,0.37,🧠Memory 🔥Past 💧Dry+,5,True,2,2125246810.0,-17173690.0,10.0,12.0,,0,2026-01-19 08:19,2
35,011500,한농화성,KOSPI,281310385580,기타,17990.0,19.0,20.0,8.0,3,9.0,59.0,16550.8,8.0,16.949152542372882,20.276607165698717,R,15332.5,15473.6,17073.25506869007,17260.0,12.74,🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,1,True,0,63597130.0,-1098660.0,20.0,8.0,,0,2026-01-19 08:19,2
36,274090,켄코아에어로스페이스,KOSDAQ,276882071600,기타,20950.0,25.0,10.0,12.0,5,7.0,59.0,19150.0,8.591885441527445,100.0,76.53564016562073,-,18691.0,13698.2,21718.527693509335,18860.0,0.23,🚪Door 🔥Past 💧Dry+,9,False,2,2510596150.0,-2069558580.0,10.0,12.0,,0,2026-01-19 08:19,2
37,005430,한국공항,KOSPI,209929336500,기타,66300.0,20.0,20.0,10.0,0,9.0,59.0,61100.0,7.8431372549019605,18.64406779661017,14.66942994062194,-,64485.0,61718.0,66925.7319326216,59300.0,0.39,🚪Door 🧘Squeeze 🔥Past 💧Dry,3,False,0,-627961600.0,-269973000.0,20.0,10.0,,0,2026-01-19 08:18,2
38,034950,한국기업평가,KOSDAQ,441792012200,기타,97300.0,12.0,30.0,5.0,2,10.0,59.0,96000.0,1.3360739979445015,11.864406779661017,49.551922652591365,-,98435.0,98918.0,100869.85945690754,99900.0,0.53,🚪Door 🧘Squeeze 🧠Memory 🔥Past,0,False,1,-228726200.0,-359167400.0,30.0,5.0,,0,2026-01-19 08:18,2
