rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,006110,삼아알미늄,KOSPI,415611627000,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",28250.0,26883.75,20.0,25.0,20.0,12,8.0,85.0,6.702238417490889,10.92436974789916,25.79266568423457,B,24432.5,24460.0,27219.514297325444,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -2}",23700.0,breakout,돌파,28815.0,26883.75,6.702238417490889,pullback,눌림목,24432.5,23700.0,2.998055868208329,oneil,오닐,28250.0,26962.5,4.557522123893806,3,4812895600.0,447018450.0,2026-01-27 17:02,2,,0
2,136490,선진,KOSPI,252301598440,조제동물사료,10610.0,10312.0,21.0,24.0,16.0,8,10.0,79.0,2.808671065032988,5.042016806722689,29.336105062839916,A,9628.0,9627.6,10545.069929446623,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",9850.0,oneil,Inside Day,10610.0,10312.0,2.808671065032988,breakout,돌파,10822.2,10375.2,4.130398625048511,pullback,눌림목,9628.0,9146.6,4.9999999999999964,3,648279020.0,-105704160.0,2026-01-27 17:02,2,,0
3,059090,미코,KOSDAQ,507600857820,반도체 및 디스플레이 부품 제조,15190.0,15050.0,15.0,20.0,20.0,12,10.0,77.0,0.9216589861751152,0.8403361344537815,11.960635435009456,R,13448.0,13574.0,15125.261540966394,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",15050.0,oneil,Pocket Pivot,15190.0,14586.0,3.9763001974983543,breakout,돌파,15493.800000000001,14587.800000000001,5.847500290438756,pullback,눌림목,13448.0,12775.599999999999,5.000000000000011,3,746026740.0,3895777780.0,2026-01-27 17:02,2,,0
4,031430,신세계인터내셔날,KOSPI,395134740000,"섬유, 의복, 신발 및 가죽제품 소매",11180.0,10434.8,25.0,10.0,20.0,12,10.0,77.0,3.8533124481710193,31.092436974789916,41.112870460566235,-,10853.0,10845.4,11743.437160296486,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",10380.0,pullback,눌림목,10853.0,10434.8,3.8533124481710193,breakout,돌파,11743.437160296486,11220.687160296486,4.45142246571022,oneil,오닐,11180.0,10950.0,2.0572450805008944,3,1952508350.0,52325200.0,2026-01-27 17:02,2,,0
5,107600,새빗켐,KOSDAQ,210282516900,"폐전지재활용소재, 폐산재활용",37350.0,35137.5,21.0,25.0,16.0,5,9.0,76.0,5.923694779116466,1.680672268907563,36.158772043948694,B,30182.5,31366.0,36801.28840223786,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -1}",29950.0,oneil,Pocket Pivot,37350.0,35137.5,5.923694779116466,breakout,돌파,38097.0,34778.25,8.711315851641862,pullback,눌림목,30182.5,29950.0,0.7703139236312433,1,238935100.0,-32180100.0,2026-01-27 17:02,2,,0
6,308430,셀비온,KOSDAQ,316296721500,"셀비온그린주, 셀비온메브로페닌주, 도페정 등",24650.0,25006.993987646827,23.0,15.0,20.0,12,5.0,75.0,8.090378787397741,14.285714285714286,26.839486999753056,B,22955.0,22755.0,27208.243987646827,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -5}",16280.0,breakout,돌파,27208.243987646827,25006.993987646827,8.090378787397741,oneil,오닐,24650.0,23195.0,5.9026369168357,pullback,눌림목,22955.0,21194.0,7.671531256806796,3,1655394400.0,64283700.0,2026-01-27 17:02,2,,0
7,035600,KG이니시스,KOSDAQ,306129761740,전자지불서비스,11110.0,10855.0,22.0,15.0,20.0,8,10.0,75.0,2.295229522952295,56.30252100840336,56.5061986505008,B,10085.5,10431.6,11125.405392757859,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",10110.0,oneil,Pocket Pivot,11110.0,10855.0,2.295229522952295,breakout,돌파,11125.405392757859,10742.905392757859,3.4380769643593427,pullback,눌림목,10085.5,9581.225,4.9999999999999964,3,1382933910.0,-66283510.0,2026-01-27 17:02,2,,0
8,078350,한양디지텍,KOSDAQ,409311656700,메모리 모듈,26850.0,25070.0,25.0,15.0,16.0,11,8.0,75.0,6.629422718808193,40.33613445378151,41.30848894770622,B,23217.5,21878.6,25614.03962453513,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",11240.0,oneil,Pocket Pivot,26850.0,25070.0,6.629422718808193,breakout,돌파,27387.0,24717.0,9.749151057070874,pullback,눌림목,23217.5,21081.5,9.199956929040594,5,2482714900.0,-3192328550.0,2026-01-27 17:02,2,,0
9,042420,네오위즈홀딩스,KOSDAQ,226307955150,지주사업,27050.0,24886.0,19.0,20.0,13.0,15,7.0,74.0,8.0,15.126050420168067,21.71708129312925,R,25050.0,25934.0,28183.683284990246,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",28250.0,oneil,Inside Day,27050.0,25950.0,4.066543438077634,breakout,돌파,28183.683284990246,26533.683284990246,5.854451255768754,pullback,눌림목,25050.0,23797.5,5.0,5,376124800.0,342325650.0,2026-01-27 17:03,2,,0
10,112290,와이씨켐,KOSDAQ,248719407000,반도체 및 디스플레이용 화학소재,24600.0,23535.5,23.0,15.0,13.0,12,10.0,73.0,4.3272357723577235,22.689075630252102,48.277449211717794,B,21094.0,20695.6,24074.31856093845,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",20800.0,oneil,Pocket Pivot,24600.0,23535.5,4.3272357723577235,breakout,돌파,25092.0,23495.25,6.363582018173123,pullback,눌림목,21094.0,20800.0,1.3937612591258177,3,2013280350.0,1564286200.0,2026-01-27 17:03,2,,0
11,170900,동아에스티,KOSPI,509719479500,"스티렌, 자이데나",54500.0,52992.5,20.0,15.0,16.0,12,10.0,73.0,2.7660550458715596,29.41176470588235,25.036357563260015,B,51962.5,53557.0,57269.579933264176,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_safe"": 10}",46052.0,oneil,Pocket Pivot,54500.0,52992.5,2.7660550458715596,pullback,눌림목,51962.5,50153.5,3.4813567476545586,breakout,돌파,57269.579933264176,55008.329933264176,3.948431266014205,3,839683650.0,125639700.0,2026-01-27 17:03,2,,0
