rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,080580,오킨스전자,KOSDAQ,227627806560,반도체 검사용 소켓,11060.0,10175.2,25.0,15.0,20.0,5,7.0,72.0,8.0,43.69747899159664,42.153923025001596,B,10439.0,9660.4,11462.313456994387,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",1,490826200.0,-640712420.0,2026-01-21 17:06,2,,0
2,004700,조광피혁,KOSPI,467434401400,"가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",70300.0,63200.0,20.0,20.0,18.0,12,1.0,71.0,10.099573257467995,0.0,29.886389510017512,R,67040.0,68532.0,72841.81335823033,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 3, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -9}",3,152900.0,16930100.0,2026-01-21 17:06,2,,0
3,219130,타이거일렉,KOSDAQ,215948718000,인쇄회로기판 제조업,34200.0,31464.0,25.0,5.0,18.0,15,7.0,70.0,8.0,26.050420168067227,55.691537341299515,B,24055.0,21283.0,27394.113676578832,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -3}",5,1908995100.0,628504000.0,2026-01-21 17:06,2,,0
4,003200,일신방직,KOSPI,298020800000,"면사,P/C혼방사,P/C혼방직물,화섬사 제조,수출",12980.0,11941.6,22.0,10.0,20.0,9,7.0,68.0,8.0,39.49579831932773,49.285632022917966,-,12055.0,12320.8,13595.362191654694,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",1,118740150.0,138851530.0,2026-01-21 17:06,2,,0
5,007690,국도화학,KOSPI,335705160000,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",36250.0,31300.0,20.0,14.0,18.0,15,0.0,67.0,13.655172413793103,12.605042016806722,21.791336037266422,A,33412.5,32595.0,35104.535656142776,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_a"": 4, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -10}",5,635111100.0,583201800.0,2026-01-21 17:07,2,,0
6,001080,만호제강,KOSPI,203765000000,"와이어로프,합성섬유로프,특수강선 제조,수출,임대",49100.0,45172.0,22.0,10.0,20.0,7,7.0,66.0,8.0,29.41176470588235,24.04565164423523,-,43675.0,43147.0,51523.70078420022,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",0,297007400.0,302650.0,2026-01-21 17:06,2,,0
7,451760,컨텍,KOSDAQ,276064747600,"지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",18100.0,16652.0,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,78.69381785947071,B,13419.0,10304.2,15427.21443292735,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,4539619210.0,6163600870.0,2026-01-21 17:06,2,,0
8,211270,AP위성,KOSDAQ,270425710720,위성통신 단말기,17930.0,16495.600000000002,25.0,5.0,20.0,9,7.0,66.0,8.0,100.0,71.01856247367395,B,14313.5,12523.8,15792.242937757419,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,3942068320.0,1275450290.0,2026-01-21 17:06,2,,0
9,073490,이노와이어리스,KOSDAQ,209485957300,통신용 시험 및 계측장비,27550.0,23700.0,25.0,15.0,16.0,9,0.0,65.0,13.974591651542651,14.285714285714286,42.862299900694474,B,23927.5,23176.0,25419.117769103177,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -10}",2,579628050.0,40322850.0,2026-01-21 17:06,2,,0
10,118990,모트렉스,KOSDAQ,248619900000,차량용 인포테인먼트,10000.0,9300.0,23.0,10.0,12.0,12,7.0,64.0,7.000000000000001,100.0,53.98428694707757,-,9663.0,8722.6,10325.449641675861,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",4,1400218800.0,5635000.0,2026-01-21 17:07,2,,0
11,122640,예스티,KOSDAQ,389420735040,반도체 및 디스플레이 제조 장비,18240.0,17000.0,22.0,13.0,18.0,2,8.0,63.0,6.798245614035088,9.243697478991596,21.889828560290574,C,17993.5,17673.6,19659.745569224415,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -2}",1,-1399945940.0,-210864550.0,2026-01-21 17:06,2,,0
12,210980,SK디앤디,KOSPI,236626925220,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",12710.0,12570.0,15.0,20.0,12.0,6,10.0,63.0,1.1014948859166012,8.403361344537815,54.31528306240067,R,12835.0,12729.2,13071.28159438203,True,True,"{""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_safe"": 10}",1,-79673450.0,181201410.0,2026-01-21 17:06,2,,0
13,199430,케이엔알시스템,KOSDAQ,444870839350,"특수목적 시험장비, 산업용로봇",40450.0,37214.0,22.0,5.0,20.0,9,7.0,63.0,8.0,26.050420168067227,23.455378899312446,B,28092.5,26124.0,34075.12982084713,False,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -3}",2,3367570900.0,5938650.0,2026-01-21 17:06,2,,0
14,029460,케이씨,KOSPI,372460053450,가스/Chemical 공급 장치 등 제조 및 판매,28150.0,27450.0,25.0,10.0,11.0,6,10.0,62.0,2.4866785079928952,39.49579831932773,54.28411238246985,-,27382.5,26101.0,28740.517626022072,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 3, ""risk_safe"": 10}",1,-1432553400.0,2596615650.0,2026-01-21 17:06,2,,0
15,003800,에이스침대,KOSDAQ,350998500000,침대,31650.0,29600.0,20.0,10.0,12.0,12,8.0,62.0,6.477093206951026,66.38655462184875,15.782236162349646,-,31052.5,30696.0,33208.34223645443,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -2}",3,86677100.0,62500.0,2026-01-21 17:07,2,,0
16,005680,삼영전자,KOSPI,212200000000,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",10610.0,10090.0,14.0,13.0,20.0,5,10.0,62.0,4.9010367577756835,40.33613445378151,31.348520377797943,C,10415.5,10451.4,10919.909206838154,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_c"": 3, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_safe"": 10}",2,157193120.0,-81698290.0,2026-01-21 17:06,2,,0
17,115310,인포바인,KOSDAQ,239785513300,휴대폰인증서보관서비스(UBIKey),75100.0,69092.0,21.0,10.0,15.0,9,7.0,62.0,8.0,21.84873949579832,30.95042052828496,-,64995.0,68864.0,77635.6220139092,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 3, ""risk_deduction"": -3}",2,392098400.0,2542400.0,2026-01-21 17:07,2,,0
18,274090,켄코아에어로스페이스,KOSDAQ,301106578500,항공가공품 및 조립품,22750.0,20930.0,25.0,10.0,12.0,8,7.0,62.0,8.0,100.0,75.10845229856969,-,19756.0,14180.8,22694.71177248886,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""vol_explosion"": 5, ""vol_dryup"": 7, ""risk_deduction"": -3}",4,771608220.0,-1548395230.0,2026-01-21 17:06,2,,0
