rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
50,232680,라온테크,KOSDAQ,204308014200,기타,16300.0,14996.0,25.0,0.0,18.0,4,9.0,56.0,8.0,100.0,77.0847941370154,-,13355.5,10222.0,15607.863052679477,False,False,0.0,18.0,0,-171512520.0,84987640.0,2026-01-19 14:03,2,,0
51,114190,강원에너지,KOSDAQ,365983762380,기타,14010.0,13010.0,16.0,10.0,12.0,8,9.0,55.0,7.137758743754461,16.80672268907563,31.257401273038887,-,13601.0,15018.0,18344.747795464955,False,True,10.0,12.0,3,97040600.0,-19648830.0,2026-01-19 14:03,2,,0
52,200710,에이디테크놀로지,KOSDAQ,457659989100,기타,34050.0,30250.0,24.0,10.0,12.0,4,5.0,55.0,11.16005873715125,78.15126050420169,35.04117976199466,-,31407.5,28042.0,35251.634685207086,True,False,10.0,12.0,0,-13624396600.0,29317450.0,2026-01-19 14:03,2,,0
53,094820,일진파워,KOSDAQ,204316506950,기타,13550.0,11920.0,24.0,10.0,12.0,3,5.0,54.0,12.029520295202952,98.31932773109244,31.430042009157507,-,13004.0,11723.0,13937.867606929325,True,False,10.0,12.0,0,307295590.0,-43216310.0,2026-01-19 14:03,2,,0
54,001530,DI동일,KOSPI,401490848000,기타,20350.0,19150.0,16.0,0.0,20.0,9,9.0,54.0,5.896805896805897,50.42016806722689,25.968940408979968,-,19688.1,18654.82,21488.77644284547,False,False,0.0,20.0,2,251415740.0,14406290.0,2026-01-19 14:04,2,,0
55,032940,원익,KOSDAQ,265621158000,기타,14600.0,13432.0,25.0,0.0,12.0,8,9.0,54.0,8.0,98.31932773109244,69.75600854410895,-,11227.5,8916.2,13830.43442666336,False,False,0.0,12.0,3,1669095880.0,-104732590.0,2026-01-19 14:04,2,,0
56,092230,KPX홀딩스,KOSPI,300794795200,기타,71200.0,65504.0,15.0,5.0,20.0,5,9.0,54.0,8.0,73.94957983193277,50.74968479853764,B,72715.0,72648.0,78135.83590433588,False,False,5.0,20.0,1,174867600.0,-155340700.0,2026-01-19 14:03,2,,0
57,012200,계양전기,KOSPI,303806771640,기타,11160.0,10267.2,23.0,10.0,12.0,0,9.0,54.0,7.999999999999993,95.7983193277311,28.831401529374027,-,8086.5,4102.7,11102.816909128063,True,False,10.0,12.0,0,-1464185600.0,-2718620.0,2026-01-19 14:03,2,,0
58,156100,엘앤케이바이오,KOSDAQ,276688613500,기타,12700.0,12100.0,17.0,0.0,15.0,12,10.0,54.0,4.724409448818897,79.83193277310924,22.936921905782146,-,13336.5,12401.4,16307.185219804662,False,False,0.0,15.0,4,658223020.0,320397830.0,2026-01-19 14:04,2,,0
59,079940,가비아,KOSDAQ,417383272400,기타,31100.0,29900.0,20.0,0.0,12.0,11,10.0,53.0,3.858520900321544,63.02521008403362,41.46221668725705,-,31947.5,30786.0,35102.034158722185,False,False,0.0,12.0,5,331112400.0,-73148850.0,2026-01-19 14:04,2,,0
60,126720,수산인더스트리,KOSPI,376436100000,기타,26350.0,24242.0,21.0,0.0,16.0,7,9.0,53.0,8.0,61.34453781512605,26.677359405644633,-,22037.5,21490.0,23568.680922792773,False,False,0.0,16.0,0,588949850.0,1965140350.0,2026-01-19 14:04,2,,0
61,286940,롯데이노베이트,KOSPI,338897820800,기타,22400.0,19900.0,23.0,5.0,13.0,7,5.0,53.0,11.160714285714286,46.21848739495798,44.55629704370089,B,20076.0,19856.8,21474.742783245583,False,False,5.0,13.0,0,121335600.0,341783850.0,2026-01-19 14:04,2,,0
62,004310,현대약품,KOSPI,433600000000,기타,13550.0,12466.0,25.0,0.0,12.0,7,9.0,53.0,8.0,100.0,52.31647830550144,-,8645.5,6140.7,10756.040915050937,False,False,0.0,12.0,0,8590653680.0,1881670.0,2026-01-19 14:04,2,,0
63,382900,범한퓨얼셀,KOSDAQ,283418350000,기타,32350.0,29762.0,21.0,0.0,17.0,6,9.0,53.0,8.0,36.97478991596638,37.41642952119683,-,28445.0,29563.0,36019.820239107125,False,False,0.0,17.0,1,-288633550.0,190565400.0,2026-01-19 14:04,2,,0
64,049070,인탑스,KOSDAQ,375820000000,기타,21850.0,19380.0,25.0,5.0,16.0,2,5.0,53.0,11.304347826086957,100.0,54.42538149427252,B,18503.5,16311.6,20658.47711155459,False,False,5.0,16.0,2,-3634207130.0,-545673750.0,2026-01-19 14:03,2,,0
65,042370,비츠로테크,KOSDAQ,281126268250,기타,10730.0,9871.6,24.0,0.0,20.0,0,9.0,53.0,8.0,100.0,37.618312892897116,-,9536.0,8904.6,10342.590857969659,False,False,0.0,20.0,0,-3035359290.0,-168292440.0,2026-01-19 14:03,2,,0
