rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
86,253590,네오셈,KOSDAQ,489141178600,기타,11150.0,10590.0,25.0,0.0,10.0,4,9.0,48.0,5.0224215246636765,42.016806722689076,48.229206147258374,-,10764.5,10576.8,12710.548483315764,False,False,0.0,10.0,0,-1112688100.0,220994280.0,2026-01-19 14:04,2,,0
87,361390,제노코,KOSDAQ,213859172700,기타,24300.0,22356.0,23.0,0.0,10.0,6,9.0,48.0,8.0,100.0,64.77639414333628,-,20757.5,17213.0,23792.346956576657,False,False,0.0,10.0,1,-73450950.0,157543100.0,2026-01-19 14:04,2,,0
88,464080,에스오에스랩,KOSDAQ,374627586750,기타,21050.0,19366.0,25.0,0.0,10.0,4,9.0,48.0,8.0,100.0,82.18027275654681,-,16403.0,12723.8,19552.884035837316,False,False,0.0,10.0,0,-2561778500.0,1065449550.0,2026-01-19 14:04,2,,0
89,011500,한농화성,KOSPI,281310385580,기타,17990.0,16550.8,19.0,0.0,20.0,0,9.0,48.0,8.0,58.8235294117647,20.276607165698717,-,15332.5,15473.6,17073.25506869007,False,False,0.0,20.0,0,-35759380.0,-3217690.0,2026-01-19 14:03,2,,0
90,006110,삼아알미늄,KOSPI,353085984000,기타,24000.0,22500.0,12.0,10.0,12.0,5,9.0,48.0,6.25,0.0,15.530678567812371,-,23957.5,24189.0,26964.10211943113,False,True,10.0,12.0,1,421212200.0,-63414500.0,2026-01-19 14:04,2,,0
91,098070,한텍,KOSDAQ,383679364500,기타,34500.0,31750.0,10.0,10.0,15.0,3,9.0,47.0,7.971014492753622,18.48739495798319,18.36721338891578,-,33005.0,33958.0,42174.4177336947,False,True,10.0,15.0,0,663429850.0,-1161248100.0,2026-01-19 14:04,2,,0
92,089890,코세스,KOSDAQ,397209839900,기타,23950.0,22034.0,12.0,10.0,12.0,4,9.0,47.0,8.0,10.084033613445378,15.530118043305238,-,22735.5,25431.0,32670.764775942633,False,True,10.0,12.0,0,-3365123450.0,2217281050.0,2026-01-19 14:04,2,,0
93,200880,서연이화,KOSPI,451374897900,기타,16700.0,15364.0,22.0,0.0,16.0,0,9.0,47.0,8.0,100.0,23.794781891866705,-,13437.5,12835.2,14551.067305157714,False,False,0.0,16.0,0,-7367791000.0,-258668300.0,2026-01-19 14:04,2,,0
94,394280,오픈엣지테크놀로지,KOSDAQ,311701851270,기타,14130.0,13000.0,23.0,0.0,12.0,2,9.0,46.0,7.9971691436659595,100.0,49.7644250825897,-,13620.0,12487.8,15066.60530071135,False,False,0.0,12.0,1,-608212590.0,-69866990.0,2026-01-19 14:04,2,,0
95,083310,엘오티베큠,KOSDAQ,222447312170,기타,12490.0,12200.0,14.0,10.0,10.0,2,10.0,46.0,2.321857485988791,0.0,38.44595811771131,-,12556.5,12531.2,13919.522777423063,False,True,10.0,10.0,1,-138965190.0,-65219150.0,2026-01-19 14:04,2,,0
96,482630,삼양엔씨켐,KOSDAQ,275792328000,기타,25200.0,23500.0,25.0,0.0,8.0,4,9.0,46.0,6.746031746031746,100.0,64.96637834588951,-,24109.0,21294.8,27215.63073140465,False,False,0.0,8.0,0,-248743450.0,110431350.0,2026-01-19 14:04,2,,0
97,064820,케이프,KOSDAQ,375455995200,기타,12150.0,11178.0,17.0,0.0,16.0,2,9.0,44.0,8.0,36.134453781512605,17.83542505271905,-,10525.0,10789.6,14131.251257370432,False,False,0.0,16.0,1,-2124172950.0,-58751360.0,2026-01-19 14:04,2,,0
98,234340,헥토파이낸셜,KOSDAQ,210118666240,기타,15040.0,14810.0,12.0,10.0,10.0,0,10.0,42.0,1.5292553191489362,1.680672268907563,21.543448176635827,-,16009.0,15662.2,16991.90663757918,False,True,10.0,10.0,0,-2253648890.0,-635430600.0,2026-01-19 14:04,2,,0
99,368770,파이버프로,KOSDAQ,434989939000,기타,13240.0,12400.0,25.0,0.0,8.0,0,9.0,42.0,6.3444108761329305,96.63865546218487,60.34185675015807,-,12461.5,9136.8,14817.287197330654,False,False,0.0,8.0,0,-2891787840.0,-3174866740.0,2026-01-19 14:04,2,,0
100,122640,예스티,KOSDAQ,364868440890,기타,17090.0,17000.0,10.0,10.0,12.0,0,10.0,42.0,0.5266237565827969,10.92436974789916,19.42281831533802,-,17906.0,17647.4,19787.54639645896,False,True,10.0,12.0,0,-1800967280.0,-666414800.0,2026-01-19 14:04,2,,0
